actual,predicted
27.87201,58.532463
5.80667,30.737272
137.68853,135.54543
33.47038,51.154037
108.08357,153.55579
4.64533,42.20232
16.25867,47.608356
47.80529,33.18321
228.66687,187.59824
73.33182,33.1836
24.3652,40.67435
6.968,51.34769
83.00371,43.329468
23.22667,43.41584
60.38935,30.725271
23.20387,46.67029
135.12655,129.67842
96.35452,117.98181
10.64261,44.739086
31.3332,55.437737
97.71983,63.628204
165.31174,152.34232
191.31196,132.99155
131.26954,134.09326
21.76993,48.45341
94.24674,69.87379
11.78114,30.195484
108.07135,116.86854
204.11012,128.24957
155.79663,115.68053
14.12661,59.667072
153.86108,144.41054
9.48128,63.738125
18.58134,26.94401
130.37328,175.57236
74.64326,55.561623
13.936,39.681103
77.99997,41.598076
183.37902,171.58804
14.49013,59.04988
128.80145,155.29448
173.26304,113.176445
174.69849,121.22585
11.80394,39.55363
69.7794,35.47866
51.17525,35.38368
227.16002,198.12378
2.32267,51.02409
219.1869,178.40381
26.71068,40.285362
10.0531,49.150486
51.07588,31.722773
2.32267,61.57561
30.19468,53.258686
58.598,50.42611
76.81582,37.312313
81.20489,99.2088
7.64332,40.0789
8.12934,76.62484
22.06534,39.92487
13.936,46.637505
106.5129,128.8825
16.25867,36.87478
63.80258,110.69466
6.968,55.18895
81.46116,37.24175
225.8775,195.19124
167.23785,111.047356
61.15178,38.766838
31.92783,34.527355
69.63952,38.652668
6.31998,41.52959
158.49384,152.8856
11.78114,57.521038
103.99727,116.97848
11.59053,68.152916
12.91966,54.88651
117.94074,92.777824
45.2464,35.92618
70.19365,90.43539
39.48535,29.303833
66.45573,78.04206
49.93735,32.09487
224.27905,181.68861
68.47307,39.405506
175.71571,158.6763
60.34374,35.57606
49.13442,40.55537
85.0473,91.97669
213.13691,197.62111
130.56943,99.55081
7.15861,50.599815
157.42609,122.355804
82.95809,53.294083
12.77467,33.18314
29.03334,44.593212
98.11096,94.975395
145.66332,100.865425
3.484,77.570145
11.61334,31.425375
5.80667,47.521206
83.21712,57.673416
3.484,32.818645
11.61334,35.838013
47.9959,53.672165
80.04424,82.41042
52.81414,89.71663
83.1715,55.80535
143.8308,119.35972
24.57861,72.85575
51.4799,66.23712
15.09734,28.804224
58.18887,58.492878
8.12934,46.96938
63.05785,106.3616
139.13195,172.11555
18.77195,51.959015
75.51169,94.41629
69.44891,31.95566
105.61639,101.53028
27.87201,66.983536
25.50373,38.44294
7.15861,63.02207
76.62522,39.045124
236.29249,198.53311
72.33829,35.83099
78.15007,47.1822
59.22802,27.467587
5.51126,61.9585
22.06534,68.02971
10.64261,76.18681
44.32129,47.176144
8.12934,48.273365
136.5585,154.9436
44.7025,50.073517
219.46398,181.08081
63.07043,39.772896
5.99728,54.751545
174.02036,130.75412
140.17888,146.48871
5.80667,48.426895
107.08983,96.49655
8.08372,51.693073
161.08936,131.66174
151.84979,147.0797
75.99009,33.147522
55.68071,51.397568
4.64533,44.64902
58.4479,46.87189
53.58915,24.753265
99.4057,100.15602
181.91858,135.70618
127.23653,112.61005
68.49588,34.564266
138.36984,142.76357
89.48433,114.544044
154.72221,129.44302
144.2702,89.92648
79.66981,39.011814
69.44891,35.59452
10.452,44.29241
210.99326,189.26085
95.05827,91.21584
150.16538,171.70583
130.5425,79.81945
73.29132,50.240032
38.49693,59.730686
34.84001,27.409533
35.22122,43.888542
30.19468,46.6279
29.41456,35.035122
123.36378,168.4629
58.40228,31.630985
80.84884,49.956573
11.47993,43.935284
139.05575,175.49185
140.57279,90.152695
211.25015,167.6699
118.36714,177.33609
144.15731,107.33816
9.29067,37.85351
16.25867,62.67909
81.39273,24.902243
66.73245,108.27
41.80801,40.80903
67.54796,39.67996
115.49078,119.66561
152.73335,174.27722
146.40116,120.05436
8.12934,45.85495
17.42001,56.7483
9.29067,60.83244
74.05886,52.267372
75.16435,67.24775
66.46831,44.888878
208.4649,172.62749
32.69026,70.14722
5.80667,44.455105
5.80667,36.69476
71.3601,77.48724
42.18923,53.020325
70.06124,36.78381
5.80667,59.860275
22.06534,39.866386
38.32401,37.139664
17.42001,69.79684
45.29201,31.418291
76.41692,46.873055
201.27258,165.12302
198.97851,166.39009
80.59492,118.69317
23.22667,68.89787
39.48535,33.366055
211.26773,142.39833
53.78487,57.000988
48.34172,106.5803
222.96307,139.38403
7.0252,65.86402
51.82061,55.35531
50.31856,44.446438
20.90401,35.45625
10.452,53.345158
93.25252,90.59814
227.31623,170.33493
57.28657,44.40483
138.86756,114.61066
16.44928,55.42711
140.75082,125.92511
158.237,95.63966
15.09734,48.543972
37.16268,41.82035
25.54934,16.164898
19.58067,36.427197
13.15588,54.76064
181.93319,122.45502
8.12934,41.260815
98.85836,37.415836
105.39206,125.42757
109.32471,80.14767
136.0929,147.92029
154.70733,95.475266
73.27874,64.78705
161.7248,133.45747
216.26897,193.33719
160.88728,103.815605
72.00269,45.95005
15.09734,62.337803
69.41864,103.777
8.51055,60.908184
129.01018,125.51837
61.52788,39.02083
49.30733,49.697384
209.3778,164.88504
51.65281,36.405983
134.45739,142.93451
226.6454,196.25632
125.86689,99.166084
130.41441,166.42693
192.75879,142.53554
39.86656,37.269794
16.42647,53.376972
57.45948,41.352566
220.5845,180.42937
209.84414,129.88966
112.09357,112.31257
17.61061,40.896187
32.51734,20.585094
130.10821,127.20756
32.11844,48.445606
202.4766,182.88971
128.76785,118.580246
55.34511,48.72103
19.74267,56.406334
6.968,45.752922
5.64466,32.524685
149.31956,119.07397
75.63168,27.034529
62.68921,48.59035
63.28384,32.55378
123.3485,88.87564
46.17464,85.91612
109.0245,146.14604
151.43904,126.60232
56.10754,42.80197
101.78389,89.167435
40.64668,37.59406
43.15995,45.210117
38.51462,47.735638
156.92916,88.043884
19.96188,56.212025
140.81469,166.34328
3.46119,51.278854
190.14975,140.25407
5.64466,53.81557
173.41315,138.94753
231.18974,130.8103
80.28213,35.78708
199.30178,124.30597
72.00269,37.36122
9.48128,55.36425
29.03334,61.861847
161.55638,166.65935
55.6579,46.41969
154.00497,116.13536
124.72325,116.244965
85.10549,100.61732
59.22802,27.919142
6.968,67.367874
5.81246,53.64263
25.54934,59.93746
36.38256,37.488686
201.12498,148.56688
37.35329,36.537167
8.12934,60.579006
221.16854,201.27556
9.48128,52.377277
109.85702,79.486786
40.64668,39.472244
13.9132,59.853886
132.8577,110.198715
101.9292,97.16026
88.56669,94.923615
164.06187,163.33908
166.6418,161.55061
173.75898,169.11452
11.80394,26.132175
41.59971,49.67297
44.8703,32.442726
120.86074,139.09744
12.96528,35.72111
11.59053,40.0031
85.85023,102.494194
183.65742,130.6665
40.05717,51.520874
176.16844,169.91745
9.48128,48.67168
185.83964,171.15985
10.452,44.152634
27.87201,53.771603
8.48774,54.766277
244.07501,140.52866
162.44752,142.36575
87.80426,93.45244
211.07525,196.6652
54.58268,39.833134
134.74732,124.01102
65.76173,51.854485
22.06534,72.50886
17.42001,65.16921
72.89753,78.591835
63.09323,40.342865
6.968,53.3787
55.34511,45.39576
8.12934,45.78452
77.12626,111.3768
213.67433,191.01073
8.12934,34.47549
189.61942,172.68977
79.73312,35.389843
73.67253,57.490253
17.80122,46.677494
7.34922,52.084854
5.45985,37.067844
117.71432,162.43607
31.54662,35.03651
120.8655,79.14219
169.92419,120.07829
77.54286,86.090836
6.968,40.36926
161.54578,167.41428
70.76035,45.868885
7.34922,51.542152
208.9731,159.67458
222.53206,174.18248
24.57861,48.50204
144.7381,167.08772
206.36212,165.36888
37.16268,58.696407
199.45748,115.640205
20.90401,65.13739
94.59423,52.052837
10.99392,37.630535
9.29067,63.492615
6.48199,40.196983
129.48387,176.78899
126.02446,102.99339
18.58134,31.031994
55.93462,55.389633
221.79657,195.62093
128.90427,120.20714
12.77467,48.391186
168.2365,132.98854
68.31039,36.59564
104.04524,119.44309
43.52347,34.912937
115.99417,104.67303
214.37825,203.64192
53.14332,83.40872
216.05551,195.19151
60.38935,36.239464
39.48535,39.89846
198.53419,134.36604
94.74434,98.462006
144.46592,132.37733
59.1824,27.966337
4.64533,22.047964
205.11499,172.42035
106.60782,120.85663
56.88766,45.07003
41.77263,27.684456
169.21745,134.35968
