actual,predicted
69.91352,57.266396
80.10712,78.46479
6.37849,13.973873
15.15454,3.0381196
37.95271,31.802954
6.9953,14.719334
59.94242,37.301857
73.0006,59.017876
32.85127,33.449623
39.38492,33.4589
22.54394,33.90147
76.57103,80.03314
0.0,0.1449686
59.23719,44.197388
19.95577,34.90356
24.07297,10.469938
25.11505,20.236883
40.01437,38.071865
0.0,1.2461351
36.40437,36.77482
0.0,2.6691504
22.48476,24.956022
36.48824,41.43031
12.16746,7.8592877
8.48064,0.6986354
25.98514,15.684898
43.69695,39.30178
0.0,1.0141082
8.12934,0.95284367
49.57117,43.83381
50.61156,46.586178
41.97993,37.19919
17.40231,19.540129
36.52457,35.48064
47.31217,55.38121
17.38462,26.730417
82.4812,70.286316
70.21472,68.53334
23.00068,40.91452
65.74841,57.82906
52.85135,63.766903
4.05582,1.658742
42.93876,34.732788
2.35127,25.85
17.5402,30.998762
72.7794,63.009323
47.82611,46.118183
6.05448,13.359753
57.48098,56.312325
15.16545,16.548532
6.968,2.7789571
23.76311,31.550776
49.36093,42.77679
0.0,-0.6687505
61.41978,72.21588
1.35194,3.1440766
17.97413,30.564583
34.98202,37.640938
6.7597,3.6085374
33.38895,22.08281
87.30143,75.52794
80.37064,64.75488
47.83258,42.28193
0.0,0.4872232
0.0,2.0790997
51.8671,55.304874
34.90289,14.834239
29.32515,4.4160814
4.05582,7.954488
34.46161,29.41902
6.34858,7.718011
43.10875,37.11076
60.36774,56.06199
72.24908,66.61142
33.8162,30.648518
5.40776,6.081257
54.5736,55.524414
25.62836,26.942858
3.62899,3.6759663
77.67647,81.29887
56.55524,69.711914
16.48879,5.3785224
80.26912,61.298985
69.1061,77.302605
39.95586,37.745373
31.63143,28.352102
8.11164,11.067213
33.24438,42.79335
1.13853,3.2717178
0.0,-0.15527898
8.11164,5.126651
42.51475,33.434097
80.78954,79.87845
17.00341,26.5147
80.70436,64.64541
13.95271,24.331232
63.56494,51.832706
1.99866,17.71331
0.0,0.24604192
76.08831,73.578476
63.63055,57.223663
22.89588,9.122774
23.6474,37.203808
6.5691,3.865275
38.46154,48.632206
0.0,1.636877
26.07225,17.655653
0.0,2.3528194
21.64874,36.8874
67.92196,62.832577
10.0531,11.031155
23.8653,31.317059
0.99933,15.671954
82.42979,77.957016
0.0,2.8092725
37.09707,37.996876
4.27571,13.803023
47.96619,48.5706
3.484,1.8830471
47.05789,54.2545
69.2025,55.671288
18.05482,18.162409
32.62366,37.23494
1.35194,2.540386
31.16953,37.09057
74.34737,73.27185
66.17504,60.398006
0.0,4.920826
32.62366,25.501719
20.48741,30.539371
74.29596,61.364193
71.40466,64.06261
9.62496,18.16958
86.4342,86.680115
85.14525,75.146835
0.0,2.3656354
40.85387,33.10994
36.81867,40.680153
59.45061,48.150772
63.80826,48.01733
24.35711,40.111473
21.80171,15.587527
61.64697,49.418728
44.82813,48.426155
2.49047,4.408997
8.12934,0.62835366
12.82065,28.180449
58.22216,45.766876
68.83997,61.063618
19.59027,22.394102
10.46291,13.024937
7.92104,11.400461
17.79511,23.708221
48.93692,42.603912
17.97413,31.367756
66.83877,61.891552
24.57052,39.937042
29.62056,18.886147
51.73501,58.635914
6.19368,16.354456
0.0,-1.0514411
50.9289,60.86843
2.70388,33.075336
41.63181,57.74449
10.6413,1.6631519
22.81007,25.250605
5.40776,19.813663
38.47182,33.2715
86.3021,68.47566
57.59115,50.160378
11.97623,12.810043
17.21171,33.87132
44.40218,45.23324
33.91709,25.986633
7.99462,3.9075558
25.86395,23.379984
49.95107,54.984394
35.88203,26.845476
61.36857,58.25986
21.27843,17.533869
14.43162,11.22705
0.0,3.230939
53.19817,27.692411
1.35194,7.414179
11.67054,34.47284
21.01429,16.23669
58.01261,51.563103
2.32267,2.1320908
23.76311,40.623512
73.91924,55.3101
1.99866,4.1522937
22.27776,24.181393
56.36333,35.325706
41.35341,55.624924
0.0,2.2768705
69.56931,63.98747
8.33153,2.9800017
24.19062,36.261986
39.87517,36.523785
21.21993,26.379436
29.18856,30.410688
8.15663,2.2920957
20.10619,39.418125
49.73635,56.671135
43.48354,47.220394
48.84893,62.604057
0.0,0.38307714
11.97686,21.247862
10.69851,21.87547
2.99798,2.9684546
56.99005,51.8032
37.84081,41.05296
27.10149,20.505148
48.95044,38.583637
78.99657,74.96711
46.983,46.820404
24.32141,23.662006
0.0,24.142452
16.62219,22.18241
58.35488,57.85227
72.7222,59.79642
55.30549,51.22613
66.59544,45.925247
14.68074,22.128927
60.80255,54.04188
70.10095,41.02117
46.06436,50.033047
0.0,1.7859712
54.87929,59.65306
24.5426,34.07981
20.84581,24.318487
24.99934,33.54491
45.93674,57.258488
9.13315,8.810279
34.19742,43.100796
0.0,4.0023966
2.70388,8.141188
27.48401,44.024303
0.0,-0.35168332
30.71342,43.558865
16.62219,17.786749
64.25445,61.35345
34.97492,40.273155
28.02399,16.957335
38.60454,40.88537
75.81122,66.3768
60.41205,50.00938
8.89176,11.146487
2.13785,2.1154356
57.72387,59.377495
45.57703,45.78744
0.0,0.8729001
2.51327,16.46777
23.39828,20.572859
68.88757,66.30414
25.26484,39.60202
45.13731,31.265354
49.84783,23.282305
46.32014,44.12714
68.92453,61.24091
12.97619,27.41874
44.55708,47.038322
0.0,-0.75974727
1.99866,20.822687
2.32267,23.797977
15.65146,6.3240466
12.75567,27.020544
1.99866,4.6203833
48.39949,39.299618
44.52692,47.88324
28.21784,32.653046
94.66505,89.75828
0.99933,1.7942593
45.79306,51.305645
44.44112,59.11461
6.5691,19.438494
21.83935,14.470975
50.49628,57.47188
0.0,-0.17626351
49.90634,42.476807
24.73383,28.334534
0.0,0.81092715
49.20602,39.671783
79.12929,85.36165
8.11164,7.345682
62.60841,79.99745
0.0,-0.44373745
27.0565,39.056953
20.81528,24.668835
1.16133,7.450161
38.91373,30.664202
45.93742,39.30105
1.35194,11.425716
8.89756,28.847153
26.80477,31.513315
65.8519,32.740032
0.0,-0.2591604
24.75153,35.885986
77.45595,63.84196
32.19745,34.57859
96.88359,86.29073
9.27298,21.069468
20.51601,25.212996
76.22103,62.869457
20.16209,30.545525
72.8829,70.794174
15.48946,9.493016
38.19473,35.387527
0.0,4.573189
49.44225,51.64892
62.13878,57.867672
22.75156,21.704916
0.0,10.155273
51.8813,66.2614
63.36723,65.38526
2.99798,22.010479
18.08922,23.642675
0.0,2.006194
40.07935,34.97467
58.07717,59.762123
13.13046,11.769462
41.63823,39.01433
12.94758,35.9134
0.0,2.0307722
27.20019,38.016365
0.0,26.636797
79.03806,74.82634
12.16746,17.664145
14.29952,41.35222
37.1096,47.122032
69.45872,65.40571
76.2133,72.94694
24.70972,28.689816
53.57166,46.56687
64.30138,67.97552
46.92318,45.64822
24.16201,28.471218
4.99664,13.671369
28.21784,27.580654
90.53433,89.646126
53.7999,73.75032
8.70116,14.302441
24.73383,27.269093
69.19969,73.52145
64.43217,57.115536
46.09102,36.370304
11.10963,20.052448
58.52723,50.42232
24.20569,27.530296
4.05582,6.2089334
17.3152,1.6592653
51.82473,57.202908
18.82784,13.825363
23.5725,27.212406
4.64533,1.9406685
50.69137,64.43798
9.11097,13.140905
78.81369,69.851974
18.73656,28.356148
66.56292,67.93433
27.9231,33.77474
0.0,3.4207492
73.42033,65.29722
81.04987,66.47832
11.99194,3.350731
62.27151,60.91939
6.5691,1.1112131
55.651,49.60864
46.01681,42.9296
11.54293,16.830929
0.99933,27.407995
62.68263,64.17085
26.08577,26.592537
39.03336,29.497295
60.58913,50.519203
42.84455,38.429207
27.8469,36.231266
2.32267,2.8602657
32.88143,21.280272
46.96598,44.190998
76.88794,73.48836
18.16474,23.164434
0.0,-0.55655456
25.06233,31.855087
14.81284,41.257774
30.92172,31.421509
0.0,6.1115856
63.54923,64.52434
35.31183,37.977287
53.85199,54.702187
34.55582,58.520134
18.16474,26.506573
39.36921,53.16534
38.16482,54.509617
53.83716,45.148857
0.0,1.2783294
58.00937,53.75585
61.07839,55.617447
25.87105,51.260056
39.58305,41.866142
40.07287,39.656727
0.0,-1.3644353
22.02802,16.02964
91.40934,73.07102
23.38189,32.533443
1.35194,12.770218
43.44759,45.173424
12.94758,12.01863
13.16679,21.45009
0.0,6.8562946
25.43775,22.337929
0.0,4.083887
0.0,2.0501556
15.51806,18.88082
29.37917,41.644627
42.43061,37.22837
32.11165,53.65761
49.24391,43.639774
6.05448,2.6896813
0.0,4.7054706
0.0,-0.5144671
73.21532,73.37847
29.36148,27.952623
53.72656,58.283566
47.68049,62.84688
62.02239,50.394917
4.64533,0.19147798
47.90231,47.138103
56.43885,66.47849
60.84149,54.58178
0.0,1.3576204
7.92104,0.90766966
52.70835,51.26334
0.0,0.6988361
45.70981,38.513306
0.0,0.07124987
19.51668,24.310623
32.86317,29.240133
82.37639,82.85364
45.73841,39.67302
0.0,6.506493
13.5194,27.083725
65.70603,54.760174
23.38189,23.941122
6.02588,12.681621
57.86307,60.747562
19.72367,14.941831
34.23181,35.863605
35.24883,34.13144
2.32267,3.2164967
0.99933,15.380264
11.97686,11.548744
52.5788,35.54559
25.37992,18.041258
8.64265,3.1254315
48.96552,45.42836
51.03882,55.12877
0.0,0.6842441
22.26685,38.194336
22.02995,28.006407
6.9953,3.0670252
58.37127,50.96687
20.28907,12.661029
53.17536,53.3667
0.0,-1.590497
29.37917,33.916927
34.68082,36.948338
62.80163,54.423054
9.27298,20.54869
2.70388,21.22671
14.34321,23.407347
11.95405,33.069405
42.75295,45.180267
0.0,9.591335
0.0,-0.5671756
53.88794,44.94829
26.94658,37.876236
0.0,2.001581
2.70388,5.533492
36.05176,29.65942
54.26117,45.7306
36.11345,38.472637
29.55145,36.0495
81.21637,67.90704
9.48576,15.654076
81.86177,76.83653
19.56297,35.963146
5.02655,9.256615
57.01865,50.53799
66.69633,61.124542
29.74916,29.784151
3.70321,30.776293
8.82334,4.684928
72.50811,70.272125
44.00588,37.942127
5.40776,6.8603754
36.78559,26.997128
34.97754,36.686054
38.46602,31.613817
44.37139,51.489525
58.06297,28.62982
0.99933,1.2473142
9.12866,0.9201609
10.1103,13.20704
59.84796,66.988815
13.5371,30.493391
20.00718,30.811731
53.18763,46.975853
0.0,9.279097
25.80033,8.704745
55.72522,57.223156
63.10951,36.30179
6.34858,24.621778
13.5194,21.906017
0.0,3.481634
73.21271,71.60836
29.95099,29.803478
42.58061,28.453081
13.3288,7.4745526
61.10438,37.467014
52.1169,47.614807
13.6229,19.911364
34.97754,48.121006
34.72518,51.893955
26.84309,44.09535
31.0024,27.058353
0.0,0.5509696
16.10627,22.221571
24.57052,28.16304
83.94953,64.69814
61.6046,69.84455
7.73043,15.536679
13.70359,25.821562
30.62505,26.817122
85.72699,84.267044
0.99933,6.4741135
20.48741,23.944439
16.22328,9.800545
14.10892,31.114014
10.4115,16.154392
1.35194,2.5282106
38.03142,38.520782
8.64265,35.043327
56.16562,47.08351
4.64533,19.54922
0.0,2.849506
9.99328,16.973469
17.62021,6.3505254
7.40642,12.894881
17.1712,20.221321
41.92785,43.615005
32.27366,28.175207
38.92856,53.132034
79.87022,77.07573
59.50463,32.250076
76.75783,64.48003
0.0,1.9722195
0.0,1.4205272
59.74383,66.50229
45.56263,38.783062
32.36014,44.25734
65.82112,65.21495
44.27076,33.168953
3.84241,-0.52015376
64.84266,63.170525
57.59115,46.249146
41.33833,37.619404
29.56978,21.517233
88.16025,89.42196
15.95136,21.96209
90.81982,64.142075
31.11232,28.021023
26.8659,29.286686
10.62492,25.915028
12.54226,21.566742
66.51214,68.274086
74.07676,62.126305
24.33493,19.999016
0.0,1.8405371
9.05246,26.853947
10.43431,1.9858056
0.0,1.3189211
6.7597,14.850978
7.75903,20.1579
52.52996,48.384583
52.4216,45.269424
0.0,-0.038455784
37.52546,22.24052
7.80532,4.766309
2.99798,19.436026
1.16133,26.91811
12.94758,18.28502
30.10657,27.754297
20.48741,28.35159
1.35194,3.1896489
0.0,-1.4091222
39.50193,25.44804
39.32485,32.12137
1.35194,11.401635
23.81389,28.159384
13.3288,26.118511
34.00681,27.387392
6.7597,7.227179
29.91977,25.308607
51.0218,51.410484
29.56978,36.06984
21.24983,28.066711
39.08925,18.14159
19.11266,31.202923
22.83867,26.937908
47.86979,57.805973
0.0,-0.47075158
37.68528,54.521862
8.05313,23.533619
40.9044,33.17121
35.91063,36.01738
65.6684,61.66942
17.38462,27.219183
61.62479,66.49409
60.39915,51.07687
14.16612,14.464045
6.5691,5.4973216
54.00496,47.184315
6.7597,7.606384
47.89197,31.713951
58.31208,52.206104
8.34724,13.680413
41.39621,33.028076
75.89509,75.00202
60.43423,59.4774
22.13992,12.63795
58.63521,61.36212
41.44208,21.65744
35.93057,37.218105
79.91782,70.70664
48.15429,24.825281
58.60082,51.57733
8.99395,3.7122831
66.35724,61.233124
33.8162,48.342594
42.50483,51.33748
82.29638,73.21732
29.37917,39.13436
6.5691,20.431192
83.97103,65.98035
33.04125,32.708115
21.27843,17.674133
0.0,32.92879
43.44759,54.547543
74.92567,76.88409
53.69927,41.399376
1.35194,-0.31800723
2.70388,6.434705
9.46358,30.534933
0.0,0.8739624
61.80188,49.943314
36.76727,37.753647
18.56365,27.92805
29.98538,46.233917
8.11164,7.2347503
9.86828,12.06872
1.35194,16.758238
23.95658,10.157563
15.13685,5.065184
90.97604,72.41287
29.98027,28.88454
54.94771,56.08422
49.30566,61.735107
56.46813,49.67756
2.70388,2.2101161
5.40776,9.779153
0.0,0.97479457
39.09635,44.92976
65.103,69.6155
0.0,4.6345387
46.45934,34.9828
19.56036,22.640938
0.0,1.9742473
55.41609,54.568447
28.88673,35.736298
34.11031,38.52276
9.08237,11.463368
6.7597,15.644465
5.02655,7.2525234
28.26929,14.094473
45.26231,36.570946
30.17599,15.683411
5.21715,6.189053
24.84892,39.129784
5.40776,1.2791731
10.34589,3.3700268
27.60838,14.655668
70.93827,62.95593
53.54306,46.42953
2.32267,6.477325
47.3128,49.778217
8.11164,15.748311
15.72505,7.3297944
76.72661,66.22717
1.35194,2.425705
23.00068,38.53549
0.0,-0.28306127
88.10174,81.28519
66.1589,60.99597
59.09263,62.849506
20.92582,12.507796
72.43071,62.32746
0.0,7.410341
25.70456,32.342316
8.70116,12.033064
7.92104,20.025875
49.08515,57.91089
40.06645,37.748077
46.38513,51.68701
40.01437,26.951086
14.56372,19.174856
28.59905,35.73743
44.93742,39.065647
0.0,3.7394075
69.48669,64.926
27.51,18.491356
44.23156,33.82993
47.96619,41.17163
1.35194,1.2930291
10.1103,17.32236
55.93133,49.398186
11.13181,13.11439
42.15222,35.925903
47.53999,57.70801
70.30961,64.96396
20.10358,19.642006
8.11164,17.82443
39.82439,40.16421
42.32545,32.677284
81.04925,72.20603
22.74895,15.831046
10.75701,13.727883
5.05515,20.329567
53.74874,50.5415
0.0,-0.27710056
58.37059,27.244467
21.05923,26.967453
79.5854,64.41289
71.26807,72.81418
67.84065,65.88419
31.86964,39.902485
89.8076,67.3668
4.05582,6.3660917
17.62021,31.641735
61.70741,74.616844
14.40171,17.454557
42.49967,36.166534
28.62634,34.54519
11.59564,21.0185
15.75365,23.698477
26.8659,25.994555
21.57254,17.307732
39.25325,28.260307
11.81485,31.719711
26.10926,31.471905
10.81552,23.36585
23.27135,15.493933
32.46426,27.596056
32.33665,35.227734
19.91559,25.535513
13.10828,15.837663
4.98093,2.2283888
0.0,2.9015884
25.65895,21.81049
83.86753,69.52979
25.33426,29.141312
3.62899,4.6355586
6.40709,13.629221
