actual,predicted
129.82608,157.81213
58.08136,50.80893
121.3263,105.95829
51.69324,43.954823
127.73833,85.74666
37.38887,17.743603
37.69871,42.43428
77.70199,68.68516
101.12522,65.77038
62.11733,32.167885
75.17556,56.84138
56.03918,46.06012
54.08103,56.610615
83.08477,119.348434
15.05793,8.494955
65.90529,43.289196
86.10733,54.13317
92.90873,91.144516
49.97882,59.88705
118.00964,102.43642
0.0,14.970343
63.87396,50.18227
92.39153,58.30258
128.09225,151.80972
55.8727,55.28041
60.26737,52.0442
87.44481,91.64262
80.96534,85.67676
120.85462,143.9627
40.80015,23.953047
89.05716,109.40105
48.32322,45.108627
32.98587,50.844467
147.50729,152.51904
125.12808,101.99289
136.42626,162.82414
101.47202,138.53311
95.30026,55.94249
39.80946,42.419106
34.38722,46.28594
27.0742,15.472649
92.59268,94.18481
1.25483,15.160733
41.2945,46.013344
3.57749,10.629923
79.66382,68.922356
132.29443,106.99549
1.35194,18.699959
67.47001,52.477055
18.27593,18.936544
88.05037,45.814735
67.64206,43.46675
0.0,19.924482
19.42278,8.669742
61.65202,34.864483
125.3972,100.07455
39.82715,42.28231
75.80855,63.950245
125.29487,139.91502
90.41998,77.3824
160.28794,164.0196
58.06367,42.853493
129.78754,84.823616
76.60962,107.9272
158.48758,130.25496
57.20535,22.919283
38.1488,27.365526
90.42358,134.11693
92.76881,77.701454
86.54429,118.07299
32.9454,49.118973
127.57153,85.28797
124.39583,97.09268
35.74278,36.157505
27.64923,45.22422
42.19988,31.983255
88.9662,111.16121
21.74545,9.711094
39.32751,49.697617
63.81334,61.92304
41.3697,46.615425
51.11336,61.22255
71.32813,46.672394
62.69639,31.71965
23.48946,13.28894
139.09848,115.556694
69.77182,55.114162
32.29095,73.19472
25.6179,50.199955
112.23347,116.951416
119.49544,148.14107
1.16133,11.910414
73.30203,48.812366
73.67346,67.01433
20.95809,11.530981
119.71207,126.26964
65.76565,52.94484
82.92509,41.791256
119.59767,141.57715
33.13239,54.790356
149.23733,162.50113
30.82782,39.226196
92.38559,72.37288
54.48356,48.914085
22.92126,18.53497
38.91413,52.76294
3.76448,15.459142
0.0,9.875225
19.24303,14.062777
81.34756,51.994293
62.40721,42.57707
39.14052,30.441784
75.65267,34.35014
65.5859,35.286186
69.2311,64.53228
17.10735,52.19113
1.25483,16.743465
35.83989,42.675682
79.29311,86.67017
40.67221,43.80171
49.95927,64.444496
42.90863,41.786747
77.78703,57.733624
82.36317,47.142094
60.01187,53.44867
87.09436,67.69137
70.10438,132.10243
30.43575,3.6214082
13.42913,18.074688
49.94388,39.132515
140.98322,159.8259
0.0,13.158403
89.83769,117.3668
69.00084,101.47078
5.90016,15.193604
0.0,13.870608
85.50864,56.7665
57.08833,54.482647
126.55491,100.929756
50.23975,68.63693
120.68321,91.72908
99.57326,51.555653
13.91831,18.702875
4.64533,14.00972
72.95648,62.29859
42.74169,42.18183
73.01137,40.88863
59.87996,47.693703
53.65393,34.6345
1.25483,20.245823
1.16133,16.183231
86.79085,44.952904
93.55907,63.34612
75.47513,56.6884
73.19293,62.598465
2.32267,10.319541
73.592,138.16728
63.19417,72.98494
13.19861,21.774546
45.5645,37.269268
17.21171,17.269375
57.49185,49.696617
0.0,14.299252
78.19712,70.53417
90.44527,79.78857
100.69597,127.28
95.63134,58.328304
55.66882,42.229927
47.85576,46.652702
48.51061,40.705097
49.70192,29.478046
17.0211,14.866296
149.27673,155.38852
16.92399,15.368067
127.39898,121.76822
136.80232,95.29326
165.61846,155.04063
142.49016,110.84347
22.30641,12.196057
93.41349,75.00715
72.17942,95.773964
68.46758,78.15083
101.9734,82.98722
98.49303,96.52389
62.26159,51.35067
41.15416,38.9096
18.63542,8.593358
3.484,10.133374
163.18121,165.38292
116.24745,96.351494
82.84299,56.091732
98.68412,56.925667
99.91886,62.86385
49.08203,52.07867
143.30978,163.87608
159.54733,159.86841
76.52673,47.37313
77.71662,49.969025
68.98314,45.57403
96.42087,59.18429
46.18754,66.35242
50.14987,40.851467
135.21747,83.07183
108.4228,86.53829
19.72498,16.012804
45.54681,18.32466
150.42373,155.05882
42.19491,25.230963
2.41616,10.05054
135.23488,166.05217
37.19907,52.85581
154.48515,157.39119
42.13901,20.36809
41.83355,45.238167
49.99154,42.946133
143.56206,158.81454
4.64533,13.037316
10.75747,8.665901
74.49884,47.919773
58.06729,46.634308
63.87773,48.44612
37.77773,53.39034
94.1053,81.17124
29.41199,32.704185
74.51802,60.850918
41.7015,20.320114
149.68931,170.29486
162.86379,155.75241
20.86822,9.533803
96.60101,133.79851
125.18219,166.83676
33.05699,39.563606
13.15227,61.9069
5.80667,18.15538
60.49789,48.713715
45.41104,78.79687
89.73804,134.54056
158.25395,155.79396
108.86106,141.50539
49.1487,45.028946
78.17436,67.18805
57.30124,53.996216
39.04341,35.91934
78.89062,83.88112
2.50966,18.636673
158.45673,155.03027
83.59371,82.77822
31.69782,39.23898
0.0,10.0257
52.78313,53.25571
16.53915,73.11579
117.73686,91.18122
