actual,predicted
181.31534,144.91878
83.30157,68.8498
124.78295,87.38301
92.64532,72.61543
123.41593,86.06567
97.81356,87.692894
187.13291,147.8889
46.38257,52.415226
89.14362,63.498764
90.46017,88.732735
70.37168,42.80307
141.88699,141.48549
56.73395,87.784996
86.29955,77.93064
59.00203,65.12961
176.31739,138.79132
143.76221,98.32591
70.60858,51.76824
82.27264,75.64758
55.72502,67.492935
47.92512,91.7013
66.50646,66.13108
63.42137,61.047886
100.85685,105.35987
126.44252,89.73577
105.76581,78.379456
119.38772,111.72676
184.87872,148.35039
166.81143,150.09283
99.78623,90.62649
61.08101,48.276043
59.76445,29.475933
188.49482,151.96118
77.30977,78.4516
61.68821,71.478096
172.09314,146.3696
64.3744,89.88945
112.33229,91.16269
102.32001,67.955376
50.66439,60.42532
98.7965,93.700195
116.41933,96.928566
101.33969,102.5187
123.49626,141.01419
132.41151,76.58669
65.86392,65.348656
106.17432,89.92997
57.8053,48.91619
193.909,152.14705
14.10892,40.106228
20.10619,42.045986
93.59156,72.202385
139.26119,112.200165
176.8593,156.75488
163.27472,147.06088
170.32403,150.85753
143.31831,106.67931
160.3725,131.1059
79.44183,69.02717
127.55208,76.35111
106.85674,79.660774
125.53609,106.18463
105.82171,57.54815
127.37917,143.31868
99.35194,66.543945
92.06671,64.059814
137.64056,135.07234
99.75664,90.036064
99.00611,79.94996
72.31313,87.77443
117.96188,109.90422
104.25056,79.03112
98.8155,92.22379
27.62832,58.749733
48.47121,78.89094
114.06806,82.15161
124.98578,81.24997
69.24573,61.884598
121.62296,113.2051
66.71476,65.531166
122.63581,84.23863
104.58548,90.639656
101.47888,86.05764
54.37438,61.913204
125.34418,96.83991
188.02232,156.95374
122.86081,138.6977
49.52075,68.17249
124.68906,120.05988
60.73518,69.4783
122.69333,79.60659
129.63111,102.79857
158.89619,83.135284
65.15452,85.22629
61.68821,72.642426
173.18668,144.6858
93.00884,99.2583
93.16406,100.19831
61.28931,54.841038
98.80908,77.86689
95.11678,85.345505
96.33662,103.152885
86.23144,81.606804
117.93328,99.68352
85.07011,62.547195
102.91083,81.84023
53.38596,61.191986
113.17802,110.91886
114.30945,81.82618
88.38119,106.345215
98.06399,79.118225
68.85773,60.1716
41.16542,72.077286
122.89996,125.773346
79.85295,39.445835
44.47651,88.779526
48.15112,73.955956
160.27094,138.28032
23.39959,53.17168
118.59377,107.20002
69.62694,39.223213
153.63785,102.977196
120.67667,93.527504
65.93464,50.867176
102.28181,81.412994
110.74476,97.00699
176.78833,138.28117
158.49149,149.06654
99.38732,102.65939
