actual,predicted
56.08682,28.614517
35.84318,54.39998
1.35194,11.142321
49.46227,31.375834
34.69094,25.571127
0.0,13.051354
76.82628,21.090368
98.65138,50.85649
0.0,16.283388
37.75268,33.64072
49.84553,19.296677
81.75912,36.917458
0.0,9.482108
8.11164,16.866821
22.69044,24.763494
45.81263,41.22624
16.67939,16.14296
23.12374,25.123331
0.0,13.814026
36.34545,35.364758
71.02676,50.97271
95.06334,73.35829
20.06569,18.182596
74.67901,21.154858
71.87429,41.255104
85.68184,29.536493
12.07831,11.623581
21.98522,37.14517
93.97861,55.809006
29.86127,15.722595
11.59564,22.404078
5.40776,16.547445
51.56662,36.582
56.02424,28.17127
21.63105,14.5191765
91.37566,19.57304
39.10285,27.81474
84.99196,32.521236
0.0,7.3584414
18.39222,16.108414
11.81083,10.499759
50.52999,66.27084
48.28011,40.373756
77.94291,16.200417
69.05671,44.173553
41.74617,28.008524
4.05582,4.201764
87.73498,22.819195
53.1489,33.134308
19.80873,33.76688
43.08582,37.14844
52.2254,30.609447
69.67637,28.598783
0.0,5.6649117
56.69111,26.203653
37.26768,22.073055
4.05582,4.9100695
9.46358,5.0047507
46.86188,70.382385
44.90123,24.509932
42.53654,55.74114
80.58024,65.13833
44.44112,66.558624
75.71299,33.95268
12.16746,14.514645
6.7597,22.252306
59.24855,20.976475
14.98992,15.043559
0.0,2.9528747
60.07514,42.622448
51.4918,53.84787
33.79851,29.54246
44.23282,79.72553
33.09484,44.05473
24.14432,36.185295
0.0,9.916023
17.1056,13.795959
28.3338,33.68929
51.65691,14.664682
60.63245,42.907597
35.76808,35.654156
80.40718,18.18194
47.72181,19.109554
2.70388,6.300903
71.38011,15.274305
60.80346,32.821136
38.89887,43.090206
2.70388,6.4502754
6.7597,13.181048
34.12203,24.817299
94.8473,26.650433
5.40776,6.4073772
32.05806,2.6899395
17.38462,33.513718
24.65121,31.458263
68.50194,25.574057
70.73742,39.56725
58.17843,23.316885
57.72387,64.29909
30.82715,19.990015
19.36771,19.265005
1.35194,20.85342
35.41546,18.360298
60.42776,32.162506
64.38884,32.741447
40.28785,23.997894
81.43518,25.324492
29.38606,76.60434
30.75256,24.78461
28.72508,21.94053
66.67147,34.56978
1.35194,15.540542
1.35194,15.0329685
25.04171,19.492952
111.4363,26.589563
21.53664,36.778473
48.93085,26.266714
54.94917,54.897324
17.98791,14.736979
4.05582,1.0739865
22.67473,38.180225
26.94965,36.224766
27.68552,30.206388
53.31142,39.028828
27.14253,32.182472
51.13534,52.697197
47.87145,42.294773
62.8825,44.94697
57.31347,24.01617
63.26123,39.083282
76.29088,19.913767
2.70388,9.330683
73.83634,33.554523
0.0,6.5887246
73.89319,38.885273
60.00537,43.23412
0.0,8.900422
34.16124,41.322903
36.09283,23.037466
5.40776,36.30129
39.50193,22.311792
69.51304,25.36181
71.06496,54.920174
7.83188,11.1805
1.26278,6.482124
11.97686,13.288767
49.36817,42.171616
36.20582,27.410818
78.56103,39.372482
4.05582,4.5276594
23.44334,26.171625
54.54757,39.597923
62.18926,83.33596
4.05582,4.4973516
33.41,5.9053574
47.26096,41.377968
6.7597,14.771617
111.6761,101.47728
58.07247,42.87462
