actual,predicted
40.94807,43.18387
19.44545,28.891806
33.9099,27.658499
4.11152,4.578713
14.22322,14.742979
21.2727,38.479103
71.99349,48.554016
43.10728,34.213654
58.18857,25.631884
53.72948,18.565228
39.18353,39.62655
3.4077,8.035015
76.46402,75.62163
4.11152,5.5691566
79.93525,64.9801
13.89916,4.902263
91.72299,54.499676
50.92487,38.331047
26.03807,23.76963
64.45513,28.618477
25.20583,26.095556
49.43947,39.958965
5.89816,13.83162
2.05576,9.78604
90.98424,92.93133
5.78752,7.189233
6.8154,17.747566
39.90164,45.315186
2.05576,6.8809066
3.4077,2.189992
20.9594,21.22145
68.06318,58.237278
77.97353,100.205086
5.13939,1.6001892
0.0,-0.76417494
54.03203,41.17576
58.19361,20.417383
39.37552,41.012447
28.56768,36.097065
54.29748,38.964546
42.37129,41.219723
4.05441,25.509903
77.89521,60.012287
79.85934,104.122505
15.36249,16.062847
71.08318,94.56168
19.03855,15.623586
67.68559,86.37588
4.43558,14.070979
2.05576,5.387023
16.65873,11.564118
80.81968,65.557014
53.89711,49.176952
30.36729,51.294685
108.99135,86.058014
30.26952,23.53299
91.76371,88.52602
91.48178,75.792015
3.08364,10.334853
10.60285,29.732063
33.22669,31.317982
44.45705,40.969345
21.89514,21.29809
38.18568,19.264063
0.0,-1.2963815
23.03868,39.60112
49.70784,47.590355
10.11025,21.234283
53.24899,48.36425
66.11464,49.227135
15.03843,12.223084
79.96234,79.628334
51.57299,53.837692
0.0,8.261748
73.63803,64.221664
20.84801,41.636475
71.78223,54.137062
53.03632,44.68239
6.16727,11.773217
72.58954,58.005028
41.39493,27.728231
6.16727,13.86149
99.60276,82.68338
17.22768,31.44525
54.08772,43.23088
0.0,-0.3820244
0.99933,1.5134144
21.03862,31.466457
79.6533,66.836174
22.28853,25.277428
76.14844,83.6661
0.0,5.1374283
3.08364,24.532213
38.17779,25.96906
0.0,20.115957
79.21293,75.78535
0.0,-1.4290317
39.54044,42.73205
53.70796,38.94277
60.97947,58.52174
67.41511,53.2356
86.06179,73.748726
55.1156,49.83117
70.36383,46.90127
3.37915,21.999987
7.1666,26.284027
56.66574,69.526665
85.86842,64.76461
59.84161,44.64242
4.70249,22.126444
38.20047,41.606144
0.0,-1.279674
49.01262,23.907747
106.40881,99.55821
38.66954,42.242325
70.03977,55.029995
94.77647,105.13639
8.43425,20.61583
5.13939,14.585839
89.03912,85.74815
11.57503,31.862467
51.21676,55.29209
46.54218,39.474537
14.35668,17.324713
92.94294,89.123825
4.11152,4.3380666
107.6287,94.44424
13.38449,28.474932
30.12099,36.37037
0.0,7.286111
54.40334,26.494938
38.94651,32.520214
4.43558,20.028147
55.28268,51.871338
9.19522,7.291539
15.46665,18.22815
60.03222,46.8188
71.29478,46.51734
10.60285,23.222973
29.02042,40.869984
12.87128,16.555387
80.74893,64.937454
8.54709,12.45889
103.09256,87.46859
53.48373,55.94766
56.62814,43.930252
49.89553,42.201286
9.25091,26.645304
98.36347,99.944016
29.50649,34.184814
66.5984,56.471493
54.65014,45.499664
103.53082,87.987404
36.83656,48.501797
4.22216,21.589851
15.2511,12.50326
6.43564,11.29557
25.4185,51.450123
8.35649,7.261919
34.88208,38.05674
33.79851,42.15087
22.37063,20.55362
2.05576,0.30239952
11.63073,4.1251097
87.12405,86.99633
24.63546,23.265944
22.9374,15.582423
8.22303,14.175265
11.41157,12.119212
11.44012,19.56477
54.08772,42.019394
4.43558,4.9375668
38.04144,45.749733
0.0,3.6523955
108.59812,93.581345
6.5691,20.040943
104.92628,96.02059
90.33548,59.00981
9.38436,4.6587977
2.05576,7.572887
55.79087,55.933628
101.22233,88.750206
69.76125,58.36997
58.78372,51.564762
18.27904,11.40469
71.93922,44.351974
82.67606,107.37393
21.09431,43.689003
7.84328,27.087208
45.59632,55.702984
104.91991,91.68518
0.0,3.2740932
6.16727,2.3905597
5.13939,5.4661727
16.03701,15.104378
4.87029,12.63555
13.13819,18.107702
4.89309,13.795318
99.87249,78.96451
65.36584,50.11542
10.27879,18.329952
10.22309,42.371185
4.24497,3.6999679
48.38304,49.2162
106.04388,100.25643
3.73176,14.266497
44.74975,31.766289
56.19917,55.70684
22.28853,21.320457
7.51921,15.541278
21.79526,40.113216
6.13872,25.540707
23.16848,26.228968
0.0,2.3765135
10.49146,12.970144
59.05857,50.177067
104.23573,109.83683
5.13939,10.334302
39.11911,54.43112
43.50779,43.32297
45.10518,46.777355
16.10752,24.867987
33.39523,27.837326
50.4207,54.228024
28.39075,49.714718
2.02721,23.959795
22.39056,23.636244
0.0,4.286162
0.0,-0.059715986
11.25097,25.804867
6.11158,13.860073
29.20595,41.101902
42.30001,31.895594
98.5597,98.67211
97.41616,105.25804
64.30936,51.69871
14.71437,42.776417
89.55223,105.99668
20.27843,29.13772
3.73176,12.13958
29.77486,26.722576
2.37982,14.897391
33.9099,47.193485
59.11291,56.68067
6.16727,16.007858
84.56147,32.142418
40.60265,32.154816
99.60906,52.210133
97.65965,91.48852
28.44644,31.33539
19.08776,14.094526
0.0,-2.6611247
2.37982,4.7681885
6.16727,22.026964
2.05576,0.08443552
0.0,2.494628
41.97595,47.477543
64.74923,26.482851
9.19522,11.745294
65.63275,63.995564
92.75799,70.57391
4.11152,20.199286
0.0,-1.8891656
52.79147,47.890892
8.22303,5.1041565
13.9534,16.937653
27.74263,40.328537
15.30679,18.034788
30.34522,43.42112
44.45705,35.3691
4.43558,17.410011
22.9374,29.73122
1.35194,5.397227
0.0,2.148219
48.7071,50.03312
14.65721,17.948206
29.64274,29.985842
34.13268,35.148586
7.46211,24.498297
27.74263,44.061516
8.22303,21.203472
45.96959,41.18082
46.54498,43.492165
26.67398,25.64102
9.51782,15.992833
44.0773,45.523777
23.11498,29.587852
48.73565,53.696545
14.60298,13.096812
16.77012,23.511883
43.2722,47.003304
115.60679,101.77715
35.16055,43.53649
58.18506,43.45006
36.23402,40.654217
86.77632,112.935295
0.0,3.4894881
8.22303,10.391529
103.34444,80.21693
26.02029,30.496721
30.12244,44.21106
89.61089,78.08839
11.48938,25.792944
60.89393,23.053276
2.70388,2.764767
76.85869,54.09169
50.41165,43.43183
36.13266,31.066101
53.48519,58.8083
3.4077,29.000044
71.28037,73.83406
50.79141,48.598446
0.0,0.93230045
7.19515,18.481989
3.4077,11.462471
13.49588,11.544673
14.54728,7.0528107
42.13293,44.989483
16.05616,25.648407
4.24497,15.817654
50.9028,39.480595
13.44019,17.236938
20.77025,14.420039
34.88208,39.3165
26.65614,25.669256
91.92788,98.0909
0.0,4.582976
25.20583,30.513771
42.80312,44.669983
100.60209,95.45241
22.28853,19.570433
0.0,2.3916671
0.0,1.4409968
89.61667,51.500206
70.13166,95.40916
90.65306,93.54969
45.65202,39.360218
68.81572,51.06511
9.25091,16.159988
0.0,5.813997
3.51835,16.84983
55.22699,52.686913
73.75087,61.045742
63.60202,44.20817
18.33474,35.176113
5.0837,12.473101
1.02788,4.1019826
0.0,-0.5323025
50.30027,55.730804
34.14053,24.160135
14.65867,11.762141
22.03654,32.266266
62.21997,61.89428
26.57995,29.31557
64.68911,48.56397
0.0,5.498504
38.89231,38.842327
6.16727,7.237203
6.8154,17.578821
27.56203,20.887255
82.41569,86.71972
4.43558,6.1917753
1.02788,7.641703
16.26817,38.37346
78.25773,53.877327
37.52323,29.858604
46.32306,23.727516
54.54524,56.44164
77.58246,55.762257
0.0,0.9031246
0.0,4.0102634
0.0,3.0715017
47.70777,45.87666
1.02788,0.7068825
37.91073,29.434544
46.03177,42.779133
41.00377,46.8884
44.42197,52.202972
38.72523,33.68027
6.60198,21.37136
35.61807,38.605988
0.0,6.538818
31.79845,33.36048
31.69716,41.93975
78.45997,61.793713
60.83542,44.8783
38.99656,39.585815
19.14994,41.971153
70.74579,23.59589
43.20233,27.374634
10.92691,25.591873
19.30692,16.218048
100.49854,94.837364
71.77288,49.79361
21.63105,35.045036
43.45049,37.12119
47.74492,33.531067
23.90884,30.862383
48.3002,45.18144
34.09759,35.488117
12.92698,12.668892
9.13952,23.80289
43.69754,44.10669
11.41157,14.360723
16.9828,24.846996
73.35393,56.38777
39.54044,48.12299
68.06323,65.40018
102.72349,47.719097
100.60626,88.84985
94.98091,94.32482
43.39359,27.363651
98.85748,87.03589
0.0,2.3607535
34.82639,52.711178
41.36705,20.501455
36.18843,40.84129
39.50535,40.303192
16.33467,18.594807
113.42754,100.34251
0.0,-0.56186485
0.0,19.401808
27.20167,19.086763
33.75292,32.955856
34.93778,44.753
11.57503,15.390866
1.02788,14.121749
25.4185,42.898834
16.22328,25.98486
34.02129,47.09281
17.09418,18.2571
9.25091,4.0698757
68.10586,59.09457
22.5012,8.514291
0.99933,1.7846943
4.11152,7.14133
35.16055,23.826508
58.5233,57.314198
29.47432,39.68914
26.23225,21.088018
0.0,2.2207885
13.5194,30.354548
22.23358,37.510517
78.97734,46.243866
69.40723,69.03134
13.9534,24.072586
43.70765,38.26791
90.74507,64.71653
66.46358,60.706272
0.0,-1.1604801
54.14341,50.820988
0.0,8.639084
44.48922,43.10408
35.84864,46.26773
18.54309,28.469376
0.0,7.948518
91.08274,89.911835
26.08792,57.797203
65.11164,48.531277
105.74701,103.573524
6.37849,26.046658
6.49133,2.1822166
24.5577,27.258656
10.60285,17.40898
62.38705,55.041336
10.87122,14.756357
9.84334,17.62411
37.69735,47.247326
74.74162,73.56537
15.55164,18.601223
0.0,0.14901626
39.41171,42.497707
101.92824,95.52902
22.44625,16.92576
74.36537,62.220917
72.8558,61.678528
5.46346,21.193941
3.4077,5.4927173
9.25091,4.521142
1.02788,0.056095213
12.33455,15.338881
19.85376,33.78411
59.38118,64.95641
87.17256,76.86207
10.7135,26.527313
103.76923,90.914246
50.03553,19.31165
12.63006,24.018398
0.0,2.3582938
60.65607,39.92555
9.57497,15.958833
42.88088,41.14752
5.11084,18.789568
39.69742,46.615677
6.16727,21.352222
48.28718,52.067585
0.0,0.4781124
7.19515,4.7959113
24.06234,43.40637
5.11084,16.197918
38.74534,14.119258
53.60668,37.216843
101.11666,94.00033
54.47326,43.31214
0.0,4.994332
106.18608,96.27253
1.02788,0.73798823
28.40085,39.414776
59.54404,73.2313
44.4842,55.48933
80.15441,62.86731
10.27879,13.241094
0.0,5.8259034
52.92493,52.288822
3.08364,12.681193
88.66293,97.56422
56.11995,48.38785
29.71916,35.940136
51.65075,52.70966
1.02788,0.28889364
28.66922,39.061394
59.87524,53.992565
45.45142,19.836184
50.3545,52.846584
71.01336,62.19374
46.72549,35.76901
0.0,-0.45060933
26.39069,37.130856
44.32722,57.807556
7.19515,17.628637
5.13939,18.697046
26.34509,31.988457
3.4077,18.794867
62.90318,54.15769
30.83637,32.328644
0.0,2.1023564
79.77896,85.19568
5.21715,25.804733
50.22105,48.400574
6.16727,12.791308
1.02788,3.0790467
99.42931,54.259186
9.25091,5.5810304
46.71965,46.07309
92.91224,74.919586
9.35581,22.228676
53.27251,42.288624
0.0,6.7141643
30.99043,31.103134
82.39131,85.53617
27.52995,43.616966
16.97199,32.51994
24.80612,29.703016
6.11017,16.43351
5.11084,25.392555
45.809,43.581074
1.02788,1.8186989
8.4914,12.035833
1.35194,8.295475
8.54709,24.808548
20.27911,47.275177
0.0,1.2096187
65.80707,25.356506
9.51782,16.864521
0.0,7.5419745
109.81422,116.00175
75.06568,68.78858
70.73198,73.25261
3.08364,7.872195
70.55082,65.6257
84.13572,111.61448
8.54709,27.268122
96.8802,70.90545
7.51921,29.805359
27.41856,32.981777
83.93898,68.41735
66.41071,52.96764
100.51785,91.094536
0.0,4.049557
48.63004,21.45362
92.26626,80.68543
0.0,0.086999506
2.02721,4.6293097
65.04735,69.7237
0.0,5.8453298
0.0,2.7365212
89.62799,86.248146
25.11364,25.01897
0.0,-2.4199073
2.37982,17.683489
57.7446,51.160515
25.79826,35.940956
5.21715,19.286697
29.74123,27.281775
31.90421,20.768887
70.72294,78.51081
44.40136,45.03366
16.71443,37.760315
42.93678,23.044704
65.84125,56.64413
84.83406,76.730156
6.16727,16.37564
55.86355,52.688374
81.40863,47.64152
7.78758,12.748738
1.02788,20.716333
22.0665,33.543327
108.6479,91.03411
46.56702,48.04732
48.11171,40.66513
43.51267,36.35966
4.05582,22.12096
49.82567,49.01935
82.45998,59.782772
54.20961,53.7968
9.97679,19.478859
2.05576,4.156307
13.5751,8.1316185
27.9654,50.298832
32.55796,37.913258
66.1916,56.013687
27.52714,27.929655
54.94852,52.639698
48.97547,45.029636
4.43558,8.737133
30.91413,26.278334
25.27127,35.017643
38.94801,29.112654
40.61391,43.381763
10.41224,19.82844
36.52662,42.708477
27.82331,42.604996
43.81471,26.864155
62.98602,56.753765
12.44519,19.85786
55.16848,41.439453
20.55758,34.55449
2.05576,19.652401
71.79348,78.19404
105.27608,94.79813
85.91548,70.16916
5.78752,22.24446
27.31728,29.768984
10.41224,15.541844
24.28934,25.915243
61.98523,49.788116
18.33474,19.043451
84.32015,70.15986
21.90663,34.146957
108.98476,111.9875
2.05576,7.3807597
14.86994,19.875284
85.3038,69.628265
17.03849,15.98131
71.00197,92.361595
25.32073,20.871002
50.4102,55.857834
78.80463,83.86861
45.51134,53.758614
39.30922,27.42171
0.0,2.2525458
1.35194,1.7419599
10.22309,16.47306
78.52978,72.76763
52.30033,42.971436
7.46206,13.939254
95.26767,102.46221
55.21413,39.5616
35.16055,46.922234
0.0,3.366707
48.15519,48.194862
26.82614,41.063644
10.43295,15.390077
9.25091,3.5525463
55.25559,55.838787
101.32516,57.10984
87.79761,80.1095
23.03868,42.628223
0.0,6.299197
0.0,2.3383174
0.0,0.7325849
1.02788,12.436696
28.28946,42.53791
30.72498,33.77044
3.05509,9.234207
33.8542,46.092834
30.12099,38.789165
0.0,4.669737
63.76398,50.128708
0.0,3.0412688
3.08364,6.033324
45.32795,53.61008
70.05395,56.01862
84.55928,78.76964
8.87115,17.08424
27.30426,29.139977
62.19001,75.01936
0.0,-1.7743795
38.63445,38.69844
0.0,-0.20594144
0.0,2.4735184
0.0,2.096552
16.26687,22.099068
96.50616,92.69055
50.28725,46.115677
23.53983,22.032532
51.93927,30.560465
16.71443,18.641785
65.07033,50.59355
7.32861,7.2364955
72.88794,33.12761
0.0,1.4269745
0.0,2.8644242
109.66713,112.30659
36.99354,19.862177
4.11152,20.84609
40.28985,50.07713
27.36942,19.046127
10.22309,15.14906
1.02788,6.3238773
58.40478,35.375687
38.62321,56.53138
7.13946,12.9325285
18.27764,14.091257
45.91335,19.472271
7.19515,11.44348
30.66928,35.67161
49.7649,69.87023
2.99798,1.4167486
24.01087,37.45245
6.24503,13.36905
33.54951,31.365044
50.1647,29.363726
80.83539,79.227325
29.41863,36.271595
92.12632,90.11824
41.89951,36.649853
63.92317,50.753826
15.47314,14.950387
11.95479,16.878857
16.9271,35.00788
6.00881,13.162143
45.38365,41.724
8.16734,16.202396
24.33493,34.5348
5.13939,19.984676
96.80081,116.32573
8.16734,11.095904
98.25716,94.46686
71.65732,59.554455
84.91041,71.617615
1.02788,9.70241
28.40085,34.522778
49.12591,52.51733
61.92954,47.88892
28.17808,22.488083
79.46415,77.20619
31.52586,22.460636
10.27879,15.464685
81.51635,70.089615
60.41051,51.73441
6.16727,3.0162194
9.59558,15.166581
11.62999,11.256732
44.45705,49.566525
11.95479,18.716381
42.23276,51.17414
103.79778,91.58348
15.68509,19.973072
7.19515,19.139193
77.18069,77.36384
80.44071,50.30105
92.31467,91.39828
12.78412,22.602722
78.85518,61.50252
50.28725,46.787445
12.33455,11.540713
0.0,0.33753783
13.95485,17.384087
0.0,2.1672783
42.32208,50.833836
4.75964,20.123274
40.26495,27.70051
8.11164,19.634703
95.41625,96.68905
1.02788,7.701614
47.47435,26.655441
85.48652,46.691475
3.73176,24.355963
50.35596,51.590454
0.0,15.245137
1.99866,1.1424022
1.02788,1.3230858
0.0,2.5614696
37.91003,34.983948
0.0,17.390842
8.4914,23.52448
23.03868,40.024338
94.33625,100.72347
18.06637,17.644863
0.0,8.804857
1.02788,2.4400194
1.02788,6.885696
29.15026,34.270245
53.74003,45.52166
4.43558,5.3664217
20.69463,25.317781
9.51782,20.13475
82.77614,68.710976
41.92026,44.019207
0.99933,2.4063835
0.0,0.13403535
34.02988,33.036182
64.29634,58.23063
53.07995,43.0473
28.40085,41.347446
25.42712,40.084892
29.79838,37.95136
67.30086,51.682266
45.69057,46.463234
53.54321,20.977648
5.13939,17.930048
16.01061,18.685204
28.56783,46.043266
103.35947,92.861275
66.41071,61.882126
50.21094,46.797825
22.90377,26.722841
43.24365,42.975983
55.64036,23.243692
25.26152,35.972385
48.75772,47.282665
29.41863,39.821518
2.05576,20.723707
76.94715,93.72858
79.10939,76.38817
40.40701,36.303513
8.87115,27.489168
6.16727,5.4243956
0.0,-0.4572847
53.29047,26.816133
47.70777,41.34462
16.55671,20.277996
9.51928,21.976595
1.02788,5.2442374
0.0,1.681379
47.13676,48.97217
31.68414,42.030087
29.41722,45.28487
29.09457,52.12767
8.11164,20.531132
95.48099,101.76681
52.5687,46.661694
72.09045,53.386024
54.14341,50.362614
112.16991,82.335625
56.41039,51.88036
0.0,8.215084
24.3114,11.323335
14.22322,39.19196
107.17114,92.50705
46.6242,45.62725
41.64179,45.90855
45.45131,52.94988
25.36281,55.06923
11.40504,14.94329
39.58603,43.68725
4.22216,16.651098
57.03644,56.151894
87.1711,98.410805
8.4914,3.437047
65.1889,50.506935
8.22303,17.183832
11.8991,7.480224
7.30006,19.719889
55.24905,47.310665
0.0,4.8355417
2.05576,2.6622024
28.07679,25.40461
16.00846,31.704493
4.11152,19.058657
62.16573,54.465473
99.4443,96.267044
85.48083,82.84862
0.0,8.607876
27.0945,32.805984
90.81511,89.58122
75.04712,72.63856
93.7401,105.74384
0.0,-0.7204535
0.0,0.5435511
14.01055,17.742607
62.63481,54.129753
103.9267,113.31209
100.85472,96.518425
42.48842,46.510277
1.02788,0.94534487
4.43558,4.0989304
45.92619,31.267601
86.19148,109.768394
100.61491,90.47435
17.7509,26.318941
5.46346,17.496199
46.56147,23.534742
32.94344,48.998768
1.02788,9.688107
2.05576,21.034477
5.13939,21.991978
31.79845,41.818005
46.61003,23.809044
91.91501,78.79647
100.38922,101.53501
99.62983,97.85285
46.74489,32.52425
28.34516,38.410713
38.282,29.15413
1.02788,8.996964
0.0,2.9801211
57.76957,47.206352
0.0,1.9632361
29.04898,23.633427
18.01068,28.787325
61.00159,55.20194
38.07711,44.12591
7.32861,22.579008
84.80822,103.108574
5.78752,9.807582
1.02788,1.6792547
87.44495,86.62686
13.19534,13.647379
38.30989,24.323214
63.94528,55.75684
101.5797,100.98228
48.08753,50.78863
7.13946,13.574378
25.70456,28.368053
0.0,-1.8902738
29.09457,38.657047
6.49133,12.837113
57.63321,60.590496
14.54728,20.54047
16.48462,38.9873
11.44012,12.9279
96.52053,93.5417
33.90071,21.700163
18.54962,16.551603
24.74689,22.228819
20.01074,19.77084
78.34966,101.28763
0.0,4.3532352
6.7597,17.28457
24.23364,35.097794
18.9792,24.435955
16.39037,18.310452
11.70703,14.2081785
49.01965,42.932037
9.51928,10.959996
1.02788,6.19496
72.15268,65.166626
63.73904,56.851894
45.32795,54.250015
6.30073,12.416457
5.46346,12.688576
21.51262,29.83061
42.78105,41.665684
43.40565,40.214226
36.18347,26.790964
54.16634,29.993053
49.59645,41.50618
0.0,3.255912
68.76554,55.20352
25.14722,25.692492
12.84273,27.512665
16.77012,4.17332
19.62958,13.848594
30.72498,29.50532
3.08364,6.4074454
39.80525,34.48649
10.86976,20.872374
21.71891,32.225075
52.08766,52.252686
47.33521,30.844015
81.67126,78.80512
14.81931,18.366716
27.30793,30.395397
65.35428,49.381878
16.33467,19.142197
34.99347,43.349987
104.79549,90.43781
45.07009,53.33402
39.5233,21.29749
5.13939,6.9738503
26.99322,33.978355
27.52995,15.802084
64.27437,48.825726
0.0,8.632499
78.08873,65.91978
13.51659,24.324192
13.81994,16.07326
5.40635,8.72446
29.9817,31.452131
40.24425,40.240288
17.95498,37.99343
10.27805,27.68638
25.48274,8.625356
28.77987,26.171162
7.78758,20.13497
0.0,3.1137123
36.23402,40.461163
81.18795,69.854546
81.76244,105.088524
105.72123,98.53501
62.47135,66.33716
44.61403,43.043995
7.13946,20.335922
6.16727,18.993158
0.0,2.2585711
0.0,6.242337
1.35194,-0.6863222
0.0,2.8875911
1.35194,16.52976
7.78758,20.711264
49.57292,55.542606
107.46665,108.01955
65.46995,51.16552
87.53377,66.921364
46.72549,47.245632
47.29293,51.496635
2.70388,0.79828215
3.08364,10.747955
25.83113,30.05743
18.09351,20.54546
1.02788,6.6226907
25.71255,20.149168
44.0773,42.65274
0.0,2.9383574
5.78752,1.7966536
51.32815,59.009457
68.7769,87.90109
31.94201,28.210749
49.95484,35.851418
32.04837,51.825703
39.37335,30.75069
79.72109,67.89711
2.05576,18.236557
39.21638,28.425932
57.08063,48.520134
76.63234,65.6806
9.25091,6.7875524
99.81398,101.11712
33.64153,46.36361
33.32888,55.525604
5.13939,16.506237
86.73329,107.16894
40.61391,42.996212
54.85628,50.291634
43.42918,50.630245
0.0,2.6160138
75.55606,90.41049
15.03194,22.188358
71.66656,61.880184
97.42065,82.743
90.74865,94.248024
19.47186,14.729585
12.54722,14.878056
0.0,0.04003489
54.85509,41.4523
34.83649,24.343485
0.0,-2.274391
77.68245,91.184906
96.68535,91.378784
0.0,-1.0828935
57.87517,49.57571
0.0,9.967013
5.43491,19.718842
41.96585,41.287426
8.81546,17.635962
44.66973,45.680008
5.46346,26.791477
72.32082,108.64542
4.11152,8.911378
70.21399,57.091618
4.08296,16.374866
9.65127,21.690046
77.37466,97.77996
62.27426,55.542755
5.11084,11.243943
26.30363,34.274815
6.13872,23.81803
31.04904,42.744648
6.49133,23.174408
44.94253,23.569736
10.92691,22.13272
35.86437,50.78978
18.82588,30.569498
9.51928,17.13685
71.24665,55.59974
11.95479,20.893475
32.45097,17.781256
11.63073,3.4291556
37.72098,45.48124
0.0,2.7612495
8.54709,11.5794935
9.38436,16.9737
36.19844,33.365765
36.56819,33.032063
55.05287,32.711227
67.39164,54.04298
22.05715,25.070177
38.94801,25.241161
49.02609,52.407246
28.98026,33.52738
94.23843,93.18752
61.00149,61.73951
55.21688,46.638706
7.40642,25.724653
0.0,1.2639538
45.05959,44.305923
2.99798,3.249957
0.0,9.869958
12.33455,8.7507925
44.89829,27.930025
68.93554,54.126823
8.37709,13.455004
7.46352,5.0353804
9.46218,25.653847
19.41831,27.315594
70.92421,57.581066
57.07279,39.118774
53.78432,48.169186
60.52195,53.362175
93.9087,72.69693
98.84179,94.81296
0.99933,1.9491659
37.23838,32.67715
32.01037,34.15996
14.22181,16.633694
52.83561,59.417213
87.66441,48.62438
0.0,-0.6676675
45.7533,57.33522
38.61384,40.381145
4.11152,14.442195
0.0,3.8085325
7.19515,31.962948
29.37304,44.74412
15.57516,21.083899
2.05576,4.265561
48.62004,31.65399
86.13297,110.91689
33.15039,48.259026
103.60691,107.15242
18.08844,36.295174
97.03808,91.36113
2.05576,14.969662
51.17117,54.40297
3.08364,18.8032
0.0,0.9586401
0.0,0.8393066
12.60291,14.299921
0.0,4.212556
32.02122,53.43766
89.81693,106.491394
0.0,2.00911
13.20396,20.963848
59.54469,45.894756
69.3239,56.11672
21.79667,20.562517
66.94471,75.11625
31.33802,38.00809
21.41837,34.51427
15.95492,16.322334
0.0,2.9918692
35.1099,25.655092
28.33078,24.550306
20.3348,30.430798
97.61974,98.24148
0.0,1.5487313
37.99864,31.655273
89.62084,73.29498
3.99731,8.1415
22.12219,30.884892
7.59552,14.460478
110.49464,95.81018
75.20918,55.25887
68.91463,101.97759
48.56857,46.19423
32.1782,39.322613
22.94525,34.15346
60.1436,51.165855
12.92552,16.98007
43.86463,47.58114
90.48028,93.56408
65.74922,33.592575
44.09791,40.633614
85.95312,100.73775
42.59412,63.675243
37.85433,38.468563
100.78331,111.1107
89.57456,62.44238
38.61384,43.01799
8.22303,15.3787365
16.46667,25.573908
31.9876,41.020252
97.98803,95.761505
23.24844,32.961815
0.0,4.4928293
0.0,3.3993912
18.12206,14.669948
39.7503,31.645279
3.99731,5.5620484
0.0,0.87941253
6.37849,23.94703
2.02721,18.46026
33.47445,36.817837
84.24852,94.00026
0.0,5.2831864
42.23296,32.818546
21.68674,35.094604
4.11152,8.363631
54.19911,53.25649
0.0,16.471107
80.40632,65.32935
40.87664,37.32903
32.55952,33.682156
51.49523,52.541294
62.84603,55.23503
7.13946,12.186514
75.25693,61.63808
0.0,11.5107975
0.0,10.71542
49.35745,40.521927
58.92366,53.334743
66.44163,40.81383
45.83106,45.552353
0.0,-0.2869432
17.09418,27.660484
28.17808,38.15244
8.22303,15.588921
87.54855,85.34734
0.0,-0.9224353
11.63073,10.053776
0.0,8.184032
51.48367,56.364693
13.19534,11.741819
50.24457,51.679367
0.0,5.158606
11.8991,17.88601
37.45105,31.818884
0.0,3.6258533
39.74607,19.59055
84.70568,66.737724
41.65115,56.39203
0.0,0.5567822
0.0,19.402098
59.48704,34.105175
27.85401,29.519337
58.43483,49.26113
57.74242,28.959028
4.11152,22.838676
15.48946,16.370714
10.49146,29.77754
6.49133,35.523125
39.8088,49.291866
