actual,predicted
35.15045,56.979248
0.0,8.335316
0.0,9.13479
102.17796,98.959274
71.38447,62.0446
52.96127,16.550247
130.57092,109.53227
118.86243,76.454414
36.07704,35.461845
108.01903,75.23342
38.00362,53.457504
70.73635,70.10747
38.77444,40.111008
0.0,4.891451
101.07454,86.47502
66.9489,59.186935
117.02871,112.51938
129.5731,113.56859
8.02318,17.304138
1.99866,8.485338
54.22119,37.157887
39.23703,27.126408
90.63083,65.288445
105.30453,110.83797
15.03843,19.7898
56.45744,45.058983
111.48885,94.077805
51.75349,58.426533
14.92704,8.5241
82.18301,69.01517
2.70388,8.308903
64.24502,63.725727
55.52823,24.751228
20.65605,49.373055
2.37982,16.05277
1.02788,7.8286476
12.33099,7.8154774
5.78752,5.5482283
1.02788,29.494047
4.02586,14.768997
54.189,48.886185
34.34535,32.941105
33.16049,41.874226
130.04414,102.843475
107.66856,90.355804
88.51862,78.55094
31.90984,53.901104
50.60714,63.519775
91.28751,81.853676
19.62535,38.13893
5.40776,6.534684
19.47045,34.668625
0.0,3.4817038
32.99341,9.248958
53.65227,30.612225
12.27885,16.68845
18.65524,9.001931
7.41289,4.2255716
55.96569,37.62113
94.85011,93.86863
39.8088,22.027536
2.70388,1.990385
9.0639,2.4084005
134.82732,107.91447
6.7597,16.181604
66.71205,35.503284
81.73037,81.493866
44.10879,70.15066
6.11158,4.2904363
108.30683,100.20484
3.02653,34.510452
51.32815,55.88463
31.15032,31.964256
91.65654,80.12033
6.43564,4.4472747
88.02185,53.87098
0.0,4.110482
95.38127,74.6068
16.78153,11.282394
47.21663,38.910217
30.5022,56.003582
12.87128,2.611484
90.20754,76.560646
12.22316,2.9794729
81.7925,94.27823
52.13325,62.885605
4.43558,13.854727
94.29191,73.68668
37.96572,21.019892
94.55391,72.29965
22.98299,13.496645
39.8645,25.219221
77.44483,57.895805
121.10081,115.49323
17.57523,25.979834
28.44644,24.589132
8.43289,32.620213
87.53221,87.4923
82.91392,76.19908
45.16087,58.048428
110.86922,103.67138
26.74692,17.185719
29.79838,18.899778
115.58685,70.58643
21.94807,34.16286
0.0,-0.13200855
14.07625,28.149488
24.50201,15.634604
0.0,16.81418
18.26411,7.177755
28.52928,27.809921
115.95588,104.263695
5.21715,2.505302
82.43063,51.5629
1.35194,6.3528867
49.60786,34.259758
123.78559,99.47313
49.27239,63.48108
12.02049,31.979933
49.1039,39.118263
0.0,-0.2616589
0.0,2.4777212
57.05997,68.71747
105.56929,66.8481
77.71461,65.19968
51.75074,43.313305
2.51327,9.598063
1.35194,2.2613273
3.05509,25.030674
98.32206,46.506832
118.33148,104.58954
36.64449,43.161358
63.57699,54.217278
20.71456,24.28788
8.02318,21.093775
60.89301,42.676643
8.54709,13.030604
44.53989,24.39331
119.13874,115.80081
38.43119,27.443932
13.9249,34.086857
94.16635,104.01325
0.0,5.079148
72.79211,57.14247
79.6161,54.874115
0.0,5.012692
0.0,1.9924946
29.44577,12.726704
58.48037,34.86303
69.83715,72.18828
21.90737,41.320232
24.88036,49.50833
100.84809,67.45125
104.34933,107.54279
13.5194,14.878841
12.19179,1.3393756
30.83702,21.560726
23.71395,23.053343
101.49988,107.43916
104.07674,68.5812
117.78033,108.76564
51.45512,36.34662
0.0,3.8356493
18.14632,2.7429895
0.0,6.2544823
0.0,1.7420541
20.52688,33.273197
32.96913,29.428585
43.64185,32.35668
0.0,7.8860674
41.37342,53.31421
0.0,6.39195
61.40421,57.451725
0.0,7.805854
49.74921,26.497175
36.02135,45.621105
17.24835,18.844416
11.71283,36.502003
103.32368,85.31067
90.61298,49.140427
31.80001,4.0804586
16.27898,12.106574
17.5696,47.22177
74.53964,64.9127
101.17583,81.66646
14.28183,11.410379
2.70388,4.710935
84.7084,58.290035
0.0,3.9758859
83.15806,74.52228
105.9511,91.64436
126.45735,95.60465
19.09279,36.22789
86.53288,80.27283
0.0,9.115513
100.34358,69.19214
98.43198,62.93859
2.70388,8.302422
124.28589,104.52245
13.95485,17.414803
4.37848,-0.20623982
34.17827,61.04985
104.26805,82.66782
66.88556,62.526993
28.50214,19.064636
9.46358,7.5449305
75.74737,66.75716
107.53501,92.533424
26.04164,60.23535
3.08364,26.878738
59.16132,48.714207
47.86905,34.102848
35.26043,36.251
0.0,3.572601
91.95346,79.15682
121.17812,102.56493
42.28991,44.926033
21.85237,33.506424
93.02432,76.15219
124.39299,111.85721
136.39137,111.90616
94.71022,93.99442
1.02788,8.015045
0.0,-1.3550394
2.02721,19.348705
70.73635,64.14999
1.35194,-2.474341
63.1538,68.16001
2.70388,4.6247506
102.57637,81.778824
