actual,predicted
89.99927,99.34407
53.95297,70.904785
95.40644,78.87072
87.56167,77.32521
17.21343,14.488167
23.54271,13.507088
63.81629,53.43211
86.38971,57.331062
101.78691,84.87969
92.02151,72.00688
136.40367,114.04563
104.10698,84.5523
42.85248,45.94345
8.62563,14.571161
58.991,55.205204
73.69737,79.797745
48.70081,61.6039
93.81112,67.98956
145.33631,119.50609
36.63735,42.83095
39.14507,55.161743
27.26806,19.75046
13.99059,6.901741
16.16055,7.281784
18.34052,9.032963
74.90448,58.34998
55.92514,44.758984
25.82906,11.416957
25.19375,20.931286
104.86646,113.1749
54.23346,39.428886
11.02116,7.927105
48.52015,47.125614
35.17915,25.190239
37.67741,25.631493
33.44318,21.85599
13.27677,13.372705
80.45065,94.94108
66.88138,52.933434
51.0898,69.15887
60.96391,72.870346
87.81005,78.3907
111.69014,95.061874
36.87511,51.646656
48.867,66.7011
88.95368,58.268074
92.80645,60.30145
49.9499,48.297714
82.69065,63.098858
51.7059,71.87106
80.77913,64.13971
0.0,8.40653
122.49742,103.809105
0.0,9.946473
66.01977,71.23567
4.99664,5.895042
112.41545,104.74947
80.79742,66.74357
15.06049,18.708506
19.51115,21.65947
60.49701,82.029076
48.21821,64.30431
56.40614,74.29644
65.3809,35.806202
98.241,44.000473
124.18836,105.69683
15.16123,11.037748
46.49728,46.78122
72.74877,81.86339
32.698,27.539198
33.6166,24.676498
20.21497,7.3445845
0.99933,4.5914598
45.12094,21.10838
73.69016,74.927376
40.28859,55.633053
90.08682,69.5753
91.87594,87.3512
0.0,11.8815775
34.02707,35.07331
91.48231,73.66651
41.27502,35.54771
40.6183,20.36137
16.1891,19.381304
37.50187,44.39028
70.33523,59.16144
79.83401,55.87933
82.04191,33.001892
101.00747,94.108894
52.46595,61.831505
122.0149,93.85443
22.12219,20.781128
87.82153,73.29517
66.15761,54.339954
113.41842,89.84805
3.08364,24.879158
78.37716,58.074078
2.99798,12.323061
88.9176,65.983025
43.53914,41.31595
9.13671,16.557867
14.34321,7.853474
33.00848,62.60439
10.99261,5.7418385
35.61105,21.757414
43.54993,54.97105
49.64007,63.91783
80.97106,110.042595
27.17451,36.127636
82.54301,43.851326
84.0898,55.72534
80.6505,77.51898
69.06342,66.4057
52.83084,51.605026
23.44136,12.399804
53.63382,49.387432
50.64577,68.66799
0.0,-1.8262863
77.13946,76.15322
132.11164,123.03566
18.20416,9.872969
56.68535,62.45714
51.67445,63.9759
15.26832,9.237482
0.0,0.8355094
29.64,56.1614
80.31578,81.69957
63.22882,65.519485
41.59471,67.01492
126.00643,111.19222
84.0489,75.28066
43.11444,29.244774
88.50964,58.31241
22.23862,19.70536
9.34656,14.099994
127.71458,116.62753
86.00703,38.914017
18.10211,9.136762
0.0,8.100708
13.27677,12.699809
22.47058,28.639494
79.97106,73.35199
48.61863,57.237316
30.64003,36.324333
27.60998,13.335334
122.43456,109.20097
46.24517,36.590233
34.62167,53.860073
14.219,8.563128
17.70524,10.829397
91.84594,73.47456
71.66811,54.9394
100.98759,77.59576
24.46568,6.0442553
107.4632,83.80415
52.87155,52.259987
26.66916,17.028421
36.41112,16.985605
83.52305,45.09651
69.0205,29.48276
41.12945,77.36382
98.99758,84.50742
22.03157,48.32947
83.97255,87.47871
30.51156,48.20586
6.9953,3.7480788
26.50207,15.433756
73.19212,38.03972
39.40848,62.30714
19.33985,4.856771
62.36582,67.79585
