actual,predicted
139.59803,89.79033
100.9333,69.54613
1.35194,6.0557566
91.30516,73.750374
145.14201,130.01073
13.75119,41.438168
29.95099,42.661724
105.61184,59.71218
64.38207,65.02933
7.94452,46.59226
64.13096,55.712337
29.13005,32.944992
1.35194,17.53367
51.53349,53.68424
142.22023,138.6068
46.41023,14.781786
83.85412,124.42944
79.80143,68.37927
9.53848,42.018513
86.7736,61.25424
86.48149,99.10737
24.57731,66.23038
137.28079,131.49481
54.07767,46.290176
150.61793,120.21948
65.23708,35.32608
145.97776,127.63085
108.82934,123.90739
10.1103,19.817518
22.82777,50.4964
0.0,10.922509
30.58549,54.00551
70.39541,89.62115
55.53473,43.722965
61.56029,58.656456
104.25368,90.598854
11.40504,13.474515
0.0,28.209734
164.15153,154.82738
80.52341,97.51723
29.20626,57.848557
20.8088,36.333736
105.92296,68.88499
109.77721,126.95532
57.70368,91.42666
109.60486,130.30522
15.59296,16.646027
31.36498,39.188393
139.86197,150.17342
0.0,16.357363
9.50988,32.6048
7.34922,20.573336
70.16985,87.18854
77.85074,77.924164
1.35194,15.369184
83.9917,84.79615
87.36093,76.314476
29.03334,31.40837
122.11753,124.54599
15.98925,21.558525
72.37288,61.24307
80.62404,82.80564
106.32348,117.96385
28.71893,32.83951
90.22128,67.64796
65.33364,65.36677
8.89176,16.141674
109.11305,106.44613
96.14758,86.948586
0.0,13.141632
3.86521,20.525476
4.05582,14.213015
56.90947,81.43869
96.06689,89.691765
64.37508,39.377296
36.05176,49.466187
89.51517,123.76569
50.45796,60.056667
127.45531,139.47298
0.0,17.929443
110.32528,108.357765
94.72741,89.99112
70.50894,62.163742
1.35194,14.124484
52.20532,90.90325
125.95326,114.23241
65.28437,63.78467
148.96249,130.66876
98.58726,84.90474
138.82532,128.9624
82.13219,98.26792
131.97522,133.5278
145.71101,139.25279
1.35194,8.45005
10.75701,24.269361
60.91837,67.625496
80.70535,54.343044
80.84935,106.74919
104.73203,95.41244
76.46148,58.318737
25.73995,36.08179
20.08339,30.021814
56.36682,103.52606
20.561,43.496162
58.94372,62.87868
100.24385,136.83098
130.63966,127.58416
140.85869,128.53387
46.79108,85.44653
77.99156,82.41458
49.17774,54.74469
17.45821,47.916996
71.15759,72.881
91.83941,135.42941
134.60587,99.459915
9.86249,23.886074
76.41879,72.53577
52.17958,89.56377
172.08828,161.56862
59.11481,73.21683
143.04925,89.9529
91.86613,83.069115
42.92206,55.18921
12.91768,43.37086
4.64533,13.323992
47.47318,33.45368
7.73043,12.287834
150.01234,136.62779
