actual,predicted
38.93759,18.630123
22.84028,18.828901
50.58773,78.977684
75.85629,47.33842
79.20658,73.4566
39.20421,29.732038
50.57216,33.81773
52.1767,33.73089
0.0,8.762169
55.67847,52.18939
0.0,28.15082
102.99409,50.580296
1.02788,7.397331
45.23564,73.34456
37.45754,18.4828
1.02788,9.921156
4.11152,20.511253
4.11152,17.128412
51.20912,34.28349
37.43488,23.668541
3.53753,13.034107
63.58575,31.22743
59.62216,39.064922
0.0,13.712665
1.25483,21.078917
0.0,30.31074
3.99731,15.9969845
5.99597,13.409706
20.89517,26.615858
55.20951,66.35778
7.19515,35.976467
18.02905,35.62176
0.99933,26.029676
1.25483,11.480545
20.21054,10.220234
46.96215,79.225975
0.0,11.715775
19.5297,16.322449
61.25876,65.981766
8.22303,27.788687
99.91423,47.29945
4.25281,26.387842
53.97098,54.15338
82.3385,45.28556
5.99597,17.899107
42.56074,41.762768
102.00673,40.450275
10.27879,19.726055
41.22191,52.26725
77.08324,52.39975
33.99855,26.38361
49.76942,19.004393
0.0,11.718519
74.07775,103.511444
90.28613,86.23772
11.30667,26.54202
71.56861,36.160137
11.53362,14.44452
3.08364,10.22357
5.13939,9.002515
8.90388,16.471489
44.06232,48.80051
72.6267,49.543213
0.0,7.8387885
3.08364,13.995121
64.899,82.28742
0.0,32.527588
71.56861,29.600473
7.81472,10.921281
108.60255,50.03549
17.01061,7.036387
85.82455,27.158564
6.16727,25.019337
56.58712,19.398354
0.0,8.549977
18.14157,16.68751
1.99866,17.950527
0.0,50.165398
4.99664,14.18992
102.22046,74.745895
46.80376,47.385258
3.86521,27.519936
2.50966,16.68993
41.32888,22.382963
45.6355,58.81976
0.0,31.31794
9.87606,11.9647045
141.23859,84.82889
0.0,15.041563
26.19322,53.48469
0.0,17.977732
55.2509,42.225487
40.301,33.146782
0.0,23.933083
1.35194,23.574604
0.0,14.326534
0.0,33.19748
86.11242,29.618212
10.27879,19.373093
35.72615,25.945667
0.0,8.484394
106.48809,44.238003
61.59724,43.14063
9.45489,24.559284
3.08364,6.7802973
0.0,11.634082
9.70481,27.72695
49.20067,47.56723
0.0,20.216383
0.0,16.663656
4.05441,12.578578
56.39017,64.968796
44.8611,44.618324
3.08364,21.540485
2.99798,13.349857
39.72702,33.12678
0.0,12.412155
4.99664,19.549911
0.99933,16.11926
74.35155,33.39846
1.25483,15.410631
23.16088,20.006557
47.70598,23.437508
1.02788,11.490933
3.05509,7.6114554
0.0,58.126614
3.86521,15.361837
46.24545,43.88336
0.0,15.33009
50.23276,41.8169
0.0,16.884731
20.21054,12.840767
45.015,42.67124
1.02788,10.845665
0.0,11.862857
24.32206,28.216227
0.0,9.537735
55.1304,62.528652
36.23508,39.451393
11.30667,28.661566
17.38376,18.898619
42.53324,45.695633
46.12124,41.867
40.39319,46.093784
93.96325,71.01788
107.61823,40.206295
87.92247,26.59247
0.0,8.557326
42.81066,24.095821
67.8152,34.931896
78.3328,69.97507
13.36243,26.370672
2.50966,10.226157
14.8442,21.359701
6.28002,10.513193
59.07419,44.58787
47.14557,22.51487
9.25091,21.931097
47.20227,58.67262
84.92479,28.202627
2.05576,17.27052
1.02788,6.581771
46.31578,39.73448
2.99798,23.49894
62.95009,34.79159
1.25483,13.669233
0.0,53.84683
1.02788,30.078669
0.0,9.8749075
90.98345,41.31827
105.39326,32.431797
136.68671,104.76277
54.42259,50.84498
41.86667,27.191362
11.76056,28.455647
17.35386,24.191507
0.0,7.7660217
0.0,46.072433
2.25416,10.706472
3.32774,18.661839
0.0,44.650246
47.83585,27.340723
36.65661,18.409657
50.09204,65.969826
2.05576,16.751818
82.00301,106.10096
2.05576,15.474152
52.48723,46.04788
6.16727,23.381336
104.19446,61.146942
54.79817,37.522884
90.20362,31.559576
0.0,22.728226
64.28921,40.129498
14.3903,21.030441
1.25483,16.723913
49.32278,50.282265
4.99664,16.46598
0.0,7.1406116
0.0,9.566832
48.6396,24.068613
107.17073,55.25246
43.84232,35.445904
0.0,21.074446
2.05576,16.875109
44.1667,24.757502
0.0,20.91346
0.0,14.758262
0.0,28.594217
81.24479,27.159374
2.39335,11.307478
0.0,10.186816
0.0,28.28855
5.13939,16.120277
1.35194,14.891272
3.99731,18.505772
2.02721,15.45629
56.27995,38.62161
74.51542,58.121136
0.0,20.066711
55.52566,39.277447
0.99933,8.914439
42.11659,38.1668
55.66675,69.15557
60.0527,38.117355
50.7973,31.387756
49.10596,73.45163
56.91902,51.321968
77.01319,29.30027
27.23023,15.767327
9.27212,19.950872
17.89059,23.019005
103.52042,28.978891
2.05576,23.822449
81.20419,29.88048
159.50637,89.20824
1.25483,16.322365
78.28311,36.148685
65.53086,27.9775
0.0,14.280037
20.97907,12.832535
30.69252,61.14687
99.15803,42.649513
78.44828,76.754974
41.43009,36.469852
37.63886,18.590357
1.99866,18.365217
92.64798,37.527042
0.0,29.551666
1.99866,21.950285
0.0,10.3076935
1.02788,13.872221
24.89604,10.051291
2.99798,20.727034
55.13503,23.54411
1.99866,14.888591
1.02788,15.632145
5.13939,13.581179
21.6961,9.2550745
49.15894,24.518593
22.03935,20.69691
10.73269,24.951334
4.08296,11.972648
5.11084,14.378704
2.99798,16.767147
102.58523,57.64698
35.94932,39.996746
0.0,41.93883
64.39116,55.435978
15.07115,23.86936
0.0,40.649734
4.05582,10.954338
0.99933,18.360048
7.19515,27.975307
85.21859,39.979813
1.99866,14.837195
46.31562,37.25342
56.92655,41.396664
64.17119,48.21172
0.0,14.159026
5.13939,26.218584
5.01931,16.425156
4.05582,17.239202
9.17586,20.994255
67.41835,51.463894
40.74546,29.582016
0.0,10.792901
11.34522,24.02121
29.20807,59.531704
86.76335,26.32088
1.25483,8.465847
12.33455,24.114729
0.0,17.838966
16.89996,10.559584
66.32235,28.77992
20.42427,9.813738
0.0,15.0045185
5.82386,21.091356
2.99798,19.544598
49.34373,33.617973
0.0,31.692535
0.0,13.151144
2.50966,16.66435
3.08364,20.957008
108.57763,26.266037
5.79169,11.944765
92.45579,33.07804
73.91949,28.70574
80.56085,55.11953
