actual,predicted
2.70388,1.9057086
27.10018,10.380864
21.89655,9.067763
51.73438,26.252012
49.58207,47.993168
78.48744,78.195656
19.26756,8.243036
10.46291,12.264779
0.0,3.0412514
33.6079,33.86681
41.08791,31.764666
18.40033,12.288225
32.44657,35.739838
31.33022,27.54827
34.44523,32.336983
42.99017,38.15599
28.16381,18.412466
7.89823,7.789092
76.21686,75.7589
12.16746,3.9687943
1.35194,4.8799186
81.13412,75.78769
25.26353,14.780677
30.71342,55.501087
15.81864,3.1833012
14.68074,2.488461
42.69027,46.151882
34.09417,21.515512
11.34522,6.8990765
57.96632,66.62051
86.83623,83.20671
32.19745,41.874596
2.70388,0.49027905
50.61,49.504475
0.0,2.599887
35.73866,28.971836
16.26958,18.72028
61.89671,57.08068
26.68775,19.996645
45.23215,41.22574
0.0,4.3795986
0.0,7.7123675
15.34253,12.264247
35.78495,35.68676
27.03881,38.67025
76.04906,75.6729
41.79313,48.455997
0.0,3.4732199
20.16209,15.862251
24.33493,41.962933
74.28469,55.278763
2.70388,1.5122474
14.18381,5.0376015
4.84173,0.46636635
9.46358,1.6037021
78.93582,51.465866
68.20741,46.405724
8.34724,5.448503
50.80192,49.794895
7.99462,15.837921
0.0,0.6462433
3.3506,19.231155
0.0,3.543826
14.87134,3.5193636
16.46019,40.178547
28.39075,25.10783
78.81145,65.398155
0.0,0.16122094
54.66738,74.35732
0.0,2.1365597
0.0,5.701673
55.57031,48.510365
1.35194,-0.037338197
35.15045,19.659588
69.00105,51.34971
8.15663,16.29697
6.7597,10.5605755
25.45283,31.81876
0.0,0.45198417
18.35535,26.48046
8.11164,6.7572055
0.0,3.3615015
19.89789,20.357462
64.30649,65.563545
6.7597,1.4046323
36.50239,20.462763
16.22328,26.975487
3.70321,16.7463
52.18246,42.39643
79.35492,84.27191
51.31679,64.857475
32.44657,34.77443
56.31897,59.646725
54.08048,46.055367
0.0,1.1056743
0.0,1.3114976
20.27911,41.146023
9.46358,1.03006
24.04238,6.4591665
51.37374,44.568733
92.66091,72.59304
2.70388,3.7492096
13.3288,6.522356
0.0,0.09637347
54.07917,31.60056
65.77676,55.673935
51.37374,48.441513
24.33493,14.3765745
65.48845,54.725006
11.81485,9.2333355
0.0,5.4712987
20.561,9.6236515
5.40776,9.280042
83.64609,78.32165
22.98299,34.79811
35.60656,28.736486
80.65545,83.3316
92.61144,88.90837
38.22333,58.530098
0.0,0.22247344
21.24983,9.79338
21.63105,33.45946
62.83665,41.882877
91.46388,63.38506
60.73669,64.92744
29.71565,24.295473
22.98455,29.993387
56.18687,38.935432
12.16746,1.2522241
34.19898,28.817951
95.87231,86.57298
0.0,-1.3805531
78.6497,76.92899
54.0641,34.98393
0.0,4.07629
58.21413,49.86875
54.47522,49.613842
47.2009,16.121784
57.69372,52.81428
32.44657,44.848083
43.45687,15.251464
0.0,1.5295371
0.0,2.7968981
0.0,1.0911443
64.48358,59.768497
0.0,2.1697283
53.8285,52.02371
75.5775,60.05262
52.99118,44.787746
0.0,1.615386
11.15461,8.504108
0.0,2.1888998
20.57321,23.088829
28.39075,48.96458
21.51403,11.560198
5.40776,0.054474294
21.41763,38.849304
44.7789,31.56646
25.68687,30.561516
30.9191,12.343912
0.0,1.6300886
15.48173,1.7923095
17.95002,17.032587
25.68687,51.82423
20.27911,46.54255
57.31275,39.303757
42.33766,30.18122
0.0,-0.86450577
60.07489,77.22174
93.52104,59.3875
38.91503,37.817886
82.99962,73.48282
34.97492,7.0382066
60.94947,52.073345
0.0,1.8027633
48.31724,53.10861
60.15135,40.07102
25.68687,27.81466
60.5654,58.675186
6.7597,1.2607063
21.39832,12.738578
0.0,4.1793575
74.05196,49.55683
2.70388,11.868437
8.11164,27.813068
49.74987,64.06797
0.0,3.946818
50.3159,48.478214
31.90622,28.652092
32.44657,39.25438
59.36836,57.168217
21.86664,4.732391
78.45884,72.52353
12.16746,14.027916
72.17612,54.930954
0.0,3.189321
72.59522,81.73684
86.18927,60.405613
29.55208,30.233194
0.0,0.6286837
6.9953,3.1671288
71.88999,62.36397
39.30977,65.99428
49.58207,44.540962
31.09463,39.338947
0.0,11.70843
0.0,-0.20007306
34.76924,43.92576
28.39075,37.499283
27.03881,30.663462
83.48539,67.7073
78.43603,78.56959
74.88929,34.652832
0.0,0.7993314
24.33493,29.214025
62.89604,41.482555
38.03142,50.097645
0.0,0.654427
0.0,-0.38079202
40.6103,36.50241
2.70388,6.135581
15.98925,4.197444
0.0,0.8533757
1.35194,7.33185
10.81552,12.810916
44.73261,50.520145
12.16746,3.0691235
9.75769,21.479273
5.02655,20.009468
55.66515,55.236786
54.07762,44.974945
29.55208,43.2603
56.59089,42.668285
54.05057,54.91011
12.16746,31.882618
59.58887,49.957973
0.0,3.094983
11.13181,3.4384966
32.44657,33.301563
33.27037,32.04757
28.39075,35.96305
85.73341,70.67523
0.0,0.8287912
58.39894,58.69704
8.15663,1.3823779
74.96711,47.842133
70.5664,70.870445
73.66016,58.601227
0.0,-0.071187556
7.73043,15.984416
5.99597,2.133225
0.0,8.500352
79.98656,101.1834
57.20901,55.717026
27.92112,15.283337
4.05582,1.4339654
67.99593,53.52792
28.83464,17.135483
53.99051,45.842514
99.3264,84.88383
78.08367,57.139458
52.41805,27.803194
72.24236,71.472374
57.88719,32.796997
0.0,2.1770191
31.05251,37.58244
21.63105,26.341372
22.92448,39.669037
5.40776,14.368382
8.11164,6.394222
0.0,6.8405137
37.85433,36.901608
35.38605,42.205086
0.0,9.107441
15.45955,4.8037825
4.05582,15.772804
1.35194,0.9449935
9.08237,9.926607
28.20014,29.468145
51.22039,37.20303
37.50172,50.660618
28.11883,33.494495
28.33224,42.237747
42.79246,31.661898
79.00231,88.13144
58.91356,51.195343
63.39845,38.451195
15.30465,7.4789023
36.12118,34.359745
56.94506,50.99449
6.5691,3.3900976
85.46791,85.67444
77.73081,65.20491
1.35194,2.52476
25.68687,26.068321
0.0,1.7443142
58.42754,41.38915
55.66515,50.55176
0.0,2.9745562
3.70321,11.309453
3.29919,4.3793163
29.74269,28.58902
53.21106,47.75658
5.99597,8.782453
90.9953,84.61316
6.9953,3.1193087
0.0,2.5264351
18.45754,28.068598
37.70871,9.624922
44.04221,40.96982
8.11164,19.899878
12.97619,8.65533
75.75496,69.33147
49.90478,24.09151
30.84551,6.382999
15.44384,3.4425838
49.93469,43.490948
85.4094,84.52938
57.53171,54.46321
13.5194,2.2778306
7.99462,1.4534645
79.75227,68.391556
71.0817,65.91213
36.9299,33.762897
36.87139,57.180943
19.89789,36.016064
58.3327,56.788834
79.64902,72.4313
29.74269,33.812042
10.2495,4.9057393
71.34678,71.84401
25.37861,3.475572
41.44052,39.399567
76.94489,70.33271
11.78625,10.494004
51.37374,50.593575
68.02453,59.92754
32.09396,35.339302
40.3448,31.787188
6.15797,-0.02903533
17.4425,8.150756
29.74269,31.68882
28.39075,37.191956
60.44196,55.244083
20.8088,10.299684
25.74694,20.29269
11.97686,20.617962
0.0,2.5117614
41.82304,45.016876
29.34795,7.7191033
44.26142,41.22509
20.73522,34.08879
0.0,6.2775826
42.88088,35.811607
0.0,0.74570423
61.71963,67.56117
39.82439,40.501526
81.61752,90.90037
4.05582,12.272738
76.59253,85.789665
26.46699,13.092646
21.63105,36.33769
35.15045,49.22604
27.67331,12.523818
4.05582,6.37493
29.74269,37.549465
12.10895,18.149296
86.40873,84.61812
6.9953,2.775981
14.38601,7.258505
89.89852,87.848366
14.97484,44.566635
35.76857,34.12308
86.02726,74.741646
96.46762,88.333206
2.70388,4.658919
32.37454,58.83229
71.00899,63.30999
47.12731,46.715427
36.09127,17.297634
30.03966,15.078689
7.99462,3.2577703
39.20627,43.885105
0.0,1.076601
78.45884,79.95767
0.0,2.8341434
36.50239,24.672752
27.03881,43.750828
53.44729,50.379654
89.75932,75.49841
27.03881,34.249996
37.3847,45.578106
61.13142,52.76847
25.33426,33.32484
58.34174,69.32188
13.99059,3.4518652
32.44657,48.850475
8.11164,16.063683
0.0,7.666884
52.96283,37.392757
0.0,2.8592894
5.21715,17.9806
18.18561,5.424027
1.35194,4.969705
60.35417,44.09176
0.0,2.5766132
31.38873,36.14505
10.81552,6.134705
6.9953,3.737806
19.22127,18.738337
78.91364,74.04038
61.5441,62.74521
19.69246,19.291267
0.0,0.73001504
1.35194,1.1217167
14.87134,26.062649
1.16133,8.386896
83.97035,85.751335
0.0,4.409253
28.39075,37.15151
58.67734,46.246258
2.70388,1.031563
73.67498,60.02195
66.18657,49.847458
46.71619,12.016528
0.0,1.3843348
7.92104,4.5287585
52.08052,42.307514
16.59228,8.032082
25.16004,14.992007
45.40923,38.314484
0.0,3.6489832
66.72493,73.76564
86.16067,88.90238
30.78831,11.669471
0.0,0.41307628
49.06876,50.35041
1.35194,15.97672
0.0,2.2997823
34.06401,46.86397
85.16003,75.36011
53.42448,51.068916
94.01285,82.959946
78.92074,75.93485
22.79238,20.82497
0.0,5.3341284
25.68687,41.571857
0.0,1.5596297
12.16746,1.5009326
19.70729,36.940517
3.3506,2.391052
46.55418,34.035553
52.63084,42.673687
56.90007,52.32747
0.0,4.9127836
15.84207,30.283255
31.09463,39.97106
53.18179,54.31033
18.92717,35.862427
23.98232,15.068264
10.99261,2.0500007
20.06569,16.047422
1.35194,10.680423
5.99728,6.292977
32.09396,44.414455
71.53738,54.463646
0.0,-1.5964458
48.20178,48.676384
31.87475,47.37144
59.13432,58.793266
0.0,2.4068909
0.0,2.1673365
13.81351,6.9775853
20.54461,54.94819
66.45917,62.47151
0.0,-0.77523565
30.71342,45.88539
25.21724,15.041104
31.59573,19.141075
0.0,1.3408493
1.99866,1.8353679
35.03343,13.07934
6.7597,1.2960376
87.43796,68.44519
62.94657,65.37534
14.4824,10.250303
40.36761,48.63419
11.81485,18.096981
37.85433,43.69366
53.25537,61.311592
2.70388,1.719072
0.0,2.5162256
33.85858,8.510575
0.0,-0.6409142
0.0,2.0128465
36.50239,49.274647
19.44116,12.6058235
26.86459,50.464928
2.70388,5.3679857
19.23766,9.632908
98.42128,80.311134
53.72656,53.901905
103.77054,91.173904
64.0722,66.94337
78.47971,58.321384
1.35194,6.868153
12.99126,6.6929326
9.46358,5.7230134
17.03201,2.2045228
52.99118,53.17003
69.97203,38.471107
35.06334,37.78091
9.40507,3.8103495
28.39075,48.09865
10.60211,0.403561
6.7597,1.4196817
83.35198,78.60574
47.69271,51.334846
0.0,3.731307
1.35194,3.1592822
0.0,1.1922851
51.18313,44.445118
78.26823,76.79507
52.32165,47.239365
61.91734,57.51272
30.97761,25.611338
22.73387,39.678116
0.0,0.8097109
28.39075,30.912712
6.7597,4.226286
61.64604,47.411648
0.0,2.2335393
60.78037,61.32835
6.7597,10.301982
33.79851,25.143337
9.25017,19.711964
13.5194,12.12057
6.7597,6.458518
20.27911,39.772583
12.48375,2.875753
41.14798,34.41902
0.0,-0.24121213
28.39075,42.84404
43.20514,42.274944
26.67267,3.9566638
27.92112,18.49354
0.0,1.6418812
11.99194,23.557283
83.05813,72.17899
53.57166,41.503506
38.38403,29.630264
22.98299,24.891678
74.94649,82.16645
14.51873,2.0879564
3.3506,10.485777
57.62748,52.446594
90.60375,74.69673
2.70388,5.7972946
48.09803,80.892
41.38201,41.305458
2.70388,1.010566
38.79515,43.689793
48.3188,72.47317
8.11164,0.78173876
69.54134,39.33172
6.5691,10.309117
95.6589,80.305
43.20358,48.899696
17.57523,8.293592
84.41717,74.2579
32.44657,10.706921
37.47312,41.817276
85.8427,84.52332
9.46358,2.2626646
8.11164,7.3915033
45.43783,31.861465
36.50239,48.51274
24.33493,37.655903
56.92225,44.393707
0.0,2.8741257
66.45917,65.05123
0.0,1.1918409
27.03881,35.38632
25.76176,35.11234
0.0,3.0295644
63.29276,57.586933
74.43162,62.599777
87.8411,73.6736
38.44385,34.057377
5.40776,3.1255245
24.18931,9.224035
2.70388,5.951127
17.00341,36.193775
0.0,1.2366127
49.61223,38.91352
0.0,0.84192306
1.35194,4.0718584
24.2986,21.875757
81.3742,54.80247
4.99664,3.3787615
18.58103,17.428146
0.0,-1.2771562
1.35194,2.2658067
10.62492,11.794166
40.61828,41.190487
34.97492,22.03552
0.0,-0.28555804
8.99395,1.824907
0.0,2.9235218
58.78881,60.807087
22.38126,27.368717
30.9191,24.518013
55.26113,60.593307
73.40369,80.58407
82.41141,48.025238
43.49769,21.38901
30.24379,16.25462
12.34455,4.004486
25.49626,12.1402645
54.48232,54.26595
6.9953,2.984148
9.83837,19.139996
36.38537,19.532522
25.68687,33.011208
21.86664,23.789526
72.65373,51.162594
43.26209,33.769695
0.0,0.9007007
8.11164,8.484711
38.82506,49.29329
57.25269,32.428177
5.40776,1.3456715
21.44044,9.576969
0.0,2.230912
0.0,-0.51106274
0.0,-1.7255893
10.62492,7.396345
87.83531,83.78118
39.20627,48.46772
9.46358,5.9178586
88.35597,54.909065
56.20968,50.179813
9.25017,4.062952
36.12118,40.945324
27.03881,43.117027
33.79851,31.448254
6.40709,15.68595
1.35194,4.158699
65.23223,49.499565
62.86102,44.093555
25.68687,24.16531
17.79511,22.117546
4.05582,2.4861135
76.91654,82.74419
32.38806,39.06444
69.56708,68.92578
55.59443,33.86201
53.68867,48.371914
0.0,2.5450802
