actual,predicted
5.99597,3.863474
21.18525,17.99084
0.0,0.074279785
91.09044,80.776825
0.0,6.225395
0.0,0.9888983
0.0,2.498252
38.14948,11.3094
0.0,6.6929426
42.90388,37.341145
0.0,3.646526
0.0,15.578126
0.0,5.07519
0.0,6.3547444
0.0,0.64320815
32.26825,21.330132
0.0,3.369238
11.36504,32.250214
40.79265,20.31361
0.0,5.5119653
1.16133,14.332787
37.14106,18.254276
1.35194,7.0241885
0.0,3.1762674
28.05124,12.433874
0.0,6.9007993
0.0,2.695719
2.35127,3.2657983
0.0,4.036953
0.0,3.0259924
8.31257,5.917646
0.0,5.3036556
0.0,1.9140475
0.0,3.1705163
0.0,4.5415235
38.15094,37.164513
0.0,20.952324
5.15865,10.96978
0.99933,8.390484
11.98915,18.810423
44.46485,24.253986
33.9274,34.639736
31.33235,27.193628
1.35194,7.9120493
42.42656,33.241905
0.0,11.410289
6.9953,7.947061
13.97976,23.30512
3.99731,5.9400387
48.82765,26.143553
26.25171,20.452555
23.53931,10.010394
1.35194,18.52211
0.0,12.947606
0.0,7.120762
0.0,4.271031
0.99933,3.9368312
0.0,1.9358944
0.0,4.8254213
4.29852,3.423795
0.0,2.6309612
0.0,7.6733785
1.26278,6.530902
0.0,3.1209946
0.0,5.074297
19.83331,17.967773
1.99866,4.4573135
0.0,3.9752479
1.35194,11.138975
0.0,1.6161431
1.26278,9.393039
0.0,9.740771
0.0,7.367891
2.51327,13.198388
0.0,8.210472
0.0,4.518094
0.0,7.2406664
3.78835,13.148188
13.5194,17.864695
0.0,16.339077
0.0,6.168717
36.14576,11.817069
0.0,3.2612748
0.0,0.8310125
0.0,6.460432
0.0,6.973848
16.69578,24.931923
0.0,4.9299746
0.0,5.177089
27.49369,11.857623
2.99798,7.0288987
3.99731,2.3336325
4.96599,2.8713856
0.0,2.5818415
0.0,4.4607134
0.0,13.954051
2.99798,4.8814673
0.0,4.712402
0.0,4.7708774
0.0,19.916803
0.0,4.7825074
0.0,18.105505
2.99798,4.5637803
2.13785,2.7495418
2.52556,3.8726451
5.05113,2.7772303
0.0,2.6011386
14.89395,10.474974
18.11647,17.240034
7.99462,6.07531
0.0,3.6160746
0.0,3.6219757
21.20786,8.60926
34.19086,18.23635
3.13718,3.4624543
0.0,11.352629
38.22415,30.569313
0.0,-0.0410707
39.84495,20.022163
0.0,11.073984
0.0,1.3749557
0.0,8.611816
0.0,11.186635
0.0,4.834225
1.16133,4.9496465
37.31938,18.669977
1.26278,5.6478987
11.36504,14.954633
0.0,10.742726
40.11242,23.779833
0.0,1.8631866
1.35194,10.375654
6.13961,5.5373435
0.0,2.371663
4.70254,8.078733
26.87967,32.644085
0.0,5.8313174
0.0,3.0253332
0.0,8.601654
1.16133,25.207003
30.86646,23.550747
0.0,3.7106214
0.0,3.7144568
0.0,3.5180955
20.6503,19.83984
8.65289,18.097214
39.84495,25.600174
20.20451,17.639515
25.15192,7.3697367
0.0,2.4336638
27.34345,14.9939575
0.0,5.3516316
21.6979,28.28113
0.0,14.58587
0.0,4.8982143
77.30881,75.59634
65.81139,71.77264
0.0,4.9995866
32.63945,19.128374
1.26278,0.025792718
0.99933,1.5661031
0.0,2.883584
0.0,12.825541
2.35127,7.268249
16.70602,12.870765
0.0,2.5016189
0.0,1.9321396
0.0,6.433975
0.0,19.345194
2.35127,9.393902
6.51059,14.500674
0.0,12.516086
15.15338,13.955838
0.0,2.5273092
0.99933,3.0239956
0.0,11.329021
0.99933,6.950046
0.0,3.867823
0.0,7.581053
0.0,15.43853
0.0,4.667955
3.3506,8.33192
0.0,5.1394987
2.35127,4.3356667
0.0,0.1750435
0.0,3.4719217
0.0,16.560703
78.64137,74.35198
0.0,1.7805123
0.0,14.553318
0.0,10.3001175
0.99933,2.7427893
6.09872,21.447124
0.0,4.064334
87.08868,65.76444
3.13718,8.802774
0.0,3.4786167
0.0,4.0249453
7.47524,13.723464
26.99691,10.797285
0.0,3.7290118
0.0,1.1859461
76.06482,67.30527
0.0,15.906144
7.75501,25.10896
0.0,-0.02780056
0.0,3.3262439
0.0,3.8549852
2.99798,4.700844
0.0,4.165803
0.99933,4.529292
54.30424,30.815842
0.0,8.755274
0.0,7.456072
0.0,2.0899916
0.0,6.14607
81.47112,84.071304
19.0186,23.381811
0.0,1.5640438
3.48979,23.434856
1.13853,5.813096
0.0,0.63557345
20.82862,19.589529
1.26278,14.785617
0.0,2.6264474
0.0,23.320541
2.35127,6.7278457
2.52556,7.9910927
0.0,2.7224739
28.76195,11.861098
1.35194,3.1279693
37.38757,33.930134
0.0,4.940732
1.35194,6.400345
77.7576,74.95584
0.0,2.5882862
0.0,3.843975
41.45788,13.645936
1.26278,5.5912166
31.6928,24.119686
26.47607,19.395031
33.62019,20.174408
0.0,0.13779724
2.70388,5.691112
41.73544,28.971859
19.83331,21.762953
20.96679,6.787897
0.0,1.716977
34.90215,30.101086
3.70321,10.956136
10.10226,16.525106
89.18941,70.22517
0.0,13.354169
0.0,0.7839925
0.0,4.8341937
54.85725,53.088654
0.0,25.52621
0.0,2.9471927
5.40776,24.755114
15.3317,14.573858
78.55845,62.061184
2.99798,4.852183
0.0,2.7824337
16.63317,22.244553
15.15338,16.6149
0.0,12.980755
3.99731,17.533764
0.0,18.484444
0.0,14.54746
6.40307,12.1879225
22.18458,16.777348
0.0,3.4752405
0.0,3.993291
32.90693,6.4075894
42.78319,56.40554
28.7218,10.752681
0.99933,6.8406777
10.6699,19.489256
0.0,4.2711964
35.25681,25.002504
0.0,3.0161242
0.0,6.4324083
39.66663,14.203989
0.0,7.502209
0.0,4.748168
0.99933,5.1005263
62.9169,30.836374
2.99798,4.844788
14.15808,45.4565
0.0,7.5859666
2.52556,3.045542
0.0,2.758846
0.0,8.191285
2.52556,10.204372
45.01063,17.751827
1.13853,1.7439059
0.0,8.377996
0.99933,9.193407
0.0,3.6268237
0.0,5.603808
24.7408,13.580447
0.0,9.961563
2.70388,18.285063
0.99933,5.3650393
26.73098,5.101173
20.91778,29.243807
0.0,6.255854
44.78389,19.050552
30.55968,6.913247
14.37106,6.0733185
0.0,6.6705
0.0,3.0694926
26.71766,32.179054
0.0,2.0045347
1.35194,4.166993
16.51616,17.309916
22.5372,11.058883
0.0,-0.10855532
21.76944,7.9621406
0.0,1.9309919
0.99933,6.4032793
0.0,1.8532032
43.56733,23.467592
17.5127,7.1433015
46.15886,18.10828
12.01578,9.731903
12.8953,27.390749
2.61472,12.889466
75.66599,82.19245
0.99933,4.196533
0.0,3.4229167
0.0,3.754163
0.0,7.2241583
1.99866,4.4756927
7.31324,6.652212
34.16028,22.950413
0.0,7.7470527
0.0,0.9835304
3.8775,3.8241277
0.0,1.6879237
0.0,-0.851012
0.0,3.0733554
0.0,2.7701297
0.99933,7.0669117
0.0,10.27134
23.75581,18.603983
13.97976,13.375744
0.0,1.9222482
0.0,2.568982
1.16133,15.100801
0.0,1.6499779
2.61472,16.758995
40.20444,17.4809
4.26077,3.2569888
0.0,4.3911657
5.22944,5.055975
0.0,11.710556
0.0,6.211343
73.1723,72.28206
0.0,6.537315
0.0,5.932593
1.35194,5.2697387
0.0,3.9111676
0.0,2.8975062
0.0,3.621154
0.0,1.6899118
0.0,6.84
35.69873,10.685947
2.52556,6.2566667
0.0,1.5890124
3.3506,4.7031364
18.41057,13.28169
2.32267,14.049683
11.02252,18.60001
37.88382,30.820755
0.0,-0.97202766
2.42412,17.149296
71.98165,65.63199
36.89679,28.168608
0.0,1.9306601
29.23871,37.377003
2.61472,14.219763
3.78835,17.592255
30.97761,13.368796
24.43865,20.299936
26.53253,13.121572
0.0,0.8571931
30.01685,14.562233
8.56775,6.9432483
5.40776,9.346754
2.35127,16.522673
62.45677,62.151707
0.0,-0.4074102
0.0,5.576732
27.59841,2.3792892
0.0,19.837225
0.0,3.1511815
17.45821,10.71325
